"reporter_family","total_pills"
"Watson Laboratories Inc","5.1192309517266E10"
"Mallinckrodt LLC","3.6416011168E10"
"Vintage Pharmaceuticals","9.191860441E9"
"Actavis Pharma, Inc.","4.1603157E9"
"Mikart","3.3774640196E9"
"Purdue Pharmaceuticals LP","3.151226193E9"
"Novartis Consumer Health","2.637342096E9"
"Amneal Pharmaceuticals LLC","2.488708378E9"
"Par Pharmaceutical, Inc.","1.758049712E9"
"KVK-Tech, Inc","6.70721212E8"
"Boehringer Ingelheim Roxane Inc.","6.40590535E8"
"Aphena Pharma Solutions","5.86392491E8"
"Golden State Medical Supply","4.4883973109125E8"
"DSM Pharmaceuticals","4.27858711E8"
"Kaiser Permanente","4.2754152349E8"
"McKesson Corporation","4.2472754703999996E8"
"Sun Pharmaceutical Industries, Inc.","3.955598339E8"
"KV Pharmaceutical","2.78530666E8"
"Teva Pharmaceuticals USA","2.72012614E8"
"Cardinal Health","2.60198616E8"
"Impax Laboratories","2.55659973E8"
"null","2.32125586E8"
"Metrics","2.093715E8"
"Interpharm, Inc","1.93031742E8"
"Amerisource Health Services, LLC","1.7576971409999996E8"
"PrePak Systems Inc","1.55675298E8"
"Dispensing Solutions","1.13810034E8"
"Nesher Pharmaceuticals (USA) LLC","9.3258463E7"
"King Pharmaceuticals","8.3617421E7"
"NuCare Pharmaceuticals","8.0668386E7"
"CorePharma LLC","6.3558611E7"
"Heartland Repack Services","6.1940535E7"
"Southwood Pharmaceuticals Inc","6.1313027E7"
"Norwich Pharmaceuticals Inc","5.7657677E7"
"Diversified Health Care","5.3855099E7"
"Sharp Corporation DBA Sharp Packaging Services","5.3009716E7"
"Murfreesboro Pharmaceutical","4.9069669E7"
"Alza Corporation","4.7269563E7"
"PD-Rx Pharmaceuticals Inc","4.6246955043000005E7"
"Testpak Holding Co","4.54332E7"
"Caremark Repack, LLC","4.296585E7"
"DRx Pharmaceutical Consultants, Inc.","4.293356E7"
"Bryant Ranch Prepack","4.1797353E7"
"The P F Laboratories","4.1533627E7"
"Sovereign Pharmaceuticals, LLC","3.9237808E7"
"Abbott Laboratories","3.7537116E7"
"AndersonBrecon,  Inc","3.3998198E7"
"Mylan Pharmaceutical Inc","2.876016547E7"
"Altura Pharmaceuticals, Inc","2.6014683E7"
"Stat Rx USA LLC","2.3468804126000006E7"
"Allscripts, LLC","2.2248387580000006E7"
"Epic Pharma LLC","2.1539752E7"
"Almac Clinical Services, Inc.","2.0842764E7"
"Lake Erie Medical","2.0573448E7"
"Sandhills Packaging Inc.","1.886721E7"
"Forest Pharmaceuticals","1.7962904E7"
"Barr Laboratories","1.7733197E7"
"Contract Packaging Resources, Inc.","1.43256E7"
"Fisher Clinical Services Inc","1.4169309E7"
"Cephalon, Inc.","1.4142372E7"
"H J Harkins Company Inc","1.2524846280000001E7"
"Abbott Pharmaceuticals PR Ltd","1.2458391E7"
"Aidarex Pharmaceuticals LLC","1.1835321E7"
"Novel Laboratories,Inc","1.009342E7"
"Medsource Pharmaceuticals","9459988.0"
"Physicians Total Care","9337912.899999999"
"A-S Medication Solutions LLC","8783009.0"
"Direct Dispensing","8212860.640000001"
"St Mary's Medical Park Phcy","7724096.92"
"Rainbow Gold, Inc.","6760452.0"
"Preferred Pharmaceuticals Inc","6077470.0"
"Apace KY LLC","5957955.0"
"DispenseXpress,Inc.","5787304.0"
"Lannett Company, Inc.","5099817.0"
"Rebel Distributors Corp","4623894.0"
"Patient First Corporation","4583800.0"
"Nuline Pharmaceuticals, Inc.","3567429.0"
"Blenheim Pharmacal","3196838.0"
"RemedyRepack","3044542.2"
"Core Pharmaceuticals Inc","2812895.0"
"Prescript Pharmaceuticals","2213968.0"
"CIMA Labs Inc.","1898830.0"
"RxChange Co","1796445.0"
"Aidapak Services, LLC","1414400.0"
"Living Well Pharmacy Inc","1296740.0"
"Pharmedix","1163090.0"
"Apotheca Inc","1122426.43"
"Comprehensive Consultant Serv","1120500.0"
"Shamrock Medical Solutions","1078871.0"
"Asclemed USA, Inc.","949151.0"
"Palmetto State Pharma.","912840.0"
"Safecor Health, LLC","883635.0"
"Pharmpak","702066.0"
"Provident Pharmaceuticals","615400.0"
"Ohm Laboratories Inc","596920.0"
"Nexgen Pharma, Inc","379800.0"
"Formulation Technologies LLC","358629.0"
"Tedor Pharma","308457.08964799985"
"Cerovene, Inc","288396.0"
"USL Pharma LLC","277026.0"
"TYA Pharmaceuticals","262453.0"
"Genus Lifesciences Inc","202554.0"
