"reporter_family","total_gms"
"Watson Laboratories Inc","2.605155794611119E8"
"Mallinckrodt LLC","2.0098689087303573E8"
"Purdue Pharmaceuticals LP","1.0915876599093588E8"
"Actavis Pharma, Inc.","6.823421248879455E7"
"Vintage Pharmaceuticals","5.76712975966585E7"
"Novartis Consumer Health","2.200158001756746E7"
"Mikart","1.567804585072324E7"
"Amneal Pharmaceuticals LLC","1.2914241163263528E7"
"Par Pharmaceutical, Inc.","8828361.2882015"
"Impax Laboratories","7907586.439527498"
"KVK-Tech, Inc","7180895.533547019"
"Boehringer Ingelheim Roxane Inc.","3768967.589870124"
"Sun Pharmaceutical Industries, Inc.","3431774.27245445"
"KV Pharmaceutical","2960347.415355"
"Aphena Pharma Solutions","2669644.9285489996"
"DSM Pharmaceuticals","2043814.08474514"
"McKesson Corporation","1991109.4227842516"
"Metrics","1826976.7038028003"
"Golden State Medical Supply","1545927.325733506"
"Kaiser Permanente","1524666.1790765794"
"The P F Laboratories","1316350.5923149998"
"Teva Pharmaceuticals USA","1238345.233538"
"Nesher Pharmaceuticals (USA) LLC","1135429.6217"
"NuCare Pharmaceuticals","1113850.9444410023"
"Cardinal Health","1092055.9838065037"
"Sharp Corporation DBA Sharp Packaging Services","985788.3043649999"
"null","968652.4636725"
"Interpharm, Inc","883746.0885362497"
"CorePharma LLC","869058.83651125"
"Amerisource Health Services, LLC","848609.8812982519"
"Dispensing Solutions","822778.2135885017"
"AndersonBrecon,  Inc","643945.9316125001"
"Norwich Pharmaceuticals Inc","598927.9084387501"
"PrePak Systems Inc","561196.7840805"
"Epic Pharma LLC","434852.8748998999"
"Alza Corporation","428974.5620519999"
"Almac Clinical Services, Inc.","386501.0560282501"
"King Pharmaceuticals","350285.20547100005"
"Southwood Pharmaceuticals Inc","343226.87750100024"
"PD-Rx Pharmaceuticals Inc","303796.5359625081"
"Diversified Health Care","286110.83424800006"
"Abbott Laboratories","266241.4272975"
"Murfreesboro Pharmaceutical","243946.35075300006"
"Cephalon, Inc.","232006.6148835"
"Bryant Ranch Prepack","222900.99614024992"
"Sovereign Pharmaceuticals, LLC","205467.82023870008"
"Heartland Repack Services","202979.99522999997"
"DRx Pharmaceutical Consultants, Inc.","197911.3391774999"
"Fisher Clinical Services Inc","192780.24310425"
"Stat Rx USA LLC","170994.56020474367"
"Mylan Pharmaceutical Inc","165423.97242284004"
"Caremark Repack, LLC","148652.5967550001"
"Testpak Holding Co","144207.64215000003"
"Lake Erie Medical","137110.45223224995"
"Altura Pharmaceuticals, Inc","135516.68190449997"
"Allscripts, LLC","112184.03297488499"
"Physicians Total Care","106737.84865589994"
"Forest Pharmaceuticals","80518.58298"
"Barr Laboratories","80334.64700650002"
"Sandhills Packaging Inc.","78522.4096035"
"Abbott Pharmaceuticals PR Ltd","77858.12083200002"
"Contract Packaging Resources, Inc.","73896.70199999999"
"Aidarex Pharmaceuticals LLC","61736.27190400003"
"H J Harkins Company Inc","56891.77511783998"
"Medsource Pharmaceuticals","50030.72518500001"
"Direct Dispensing","46263.960303420004"
"Lannett Company, Inc.","42437.220471"
"A-S Medication Solutions LLC","40022.69129999998"
"CIMA Labs Inc.","36924.02775"
"St Mary's Medical Park Phcy","35387.55302039507"
"Novel Laboratories,Inc","30552.782339999998"
