distributor	total_dosage	percent_dosage	total_gms	percent_gms
Price and Novelties	1,000.0	0.0%	4.5	0.0%
McKesson Corporation	14.1 billion	18.41%	121.3 million	19.94%
Pharmax Inc.	10,400.0	0.0%	45.1	0.0%
Bashas' Markets, Inc.	6.3 million	0.01%	26,430.9	0.0%
Apace KY LLC	2.5 million	0.0%	9,684.6	0.0%
Pharmacy Returns Logistics	4,054.8	0.0%	28.5	0.0%
AxisCare Health Logistics,Inc	1.0 million	0.0%	5,281.3	0.0%
Publix Super Markets, Inc.	278.2 million	0.36%	1.3 million	0.21%
Alaska Native Tribal Health	25.0	0.0%	0.1	0.0%
Harbin Clinic	500.0	0.0%	6.3	0.0%
Rite Aid	1.3 billion	1.72%	5.6 million	0.93%
Brookshire Grocery Company	100.0	0.0%	0.6	0.0%
NYS Dept of Correctional Svs	2,000.0	0.0%	9.0	0.0%
Mohawk, Inc	1.4 million	0.0%	6,845.0	0.0%
Professional Drug Co	3.9 million	0.01%	20,636.1	0.0%
Coupler Enterprises Inc.	6,083.0	0.0%	18.4	0.0%
Enclara Pharmacia Wholesale	11,715.0	0.0%	115.3	0.0%
Patterson Veterinary Supply Inc	1.6 million	0.0%	4,702.4	0.0%
Wall Medical Inc	600.0	0.0%	2.0	0.0%
Professional Vet Products	755,800.0	0.0%	2,373.5	0.0%
Prime Medical Care	43,600.0	0.0%	842.3	0.0%
DispenseXpress,Inc.	4.5 million	0.01%	21,046.9	0.0%
Caligor	382,323.0	0.0%	4,380.8	0.0%
Alliance Wholesale Distrib	8,800.0	0.0%	32.2	0.0%
Quiq, Inc	464.0	0.0%	1.4	0.0%
Omnicare Distribution Center LLC	701.9 million	0.92%	3.4 million	0.55%
Wraser Pharmaceuticals	85,200.0	0.0%	2,131.0	0.0%
Sunbelt Medical Supply, Inc	100.0	0.0%	0.4	0.0%
Valley Wholesale Drug Co	207.1 million	0.27%	1.5 million	0.25%
Paragon Enterprises Inc	21.7 million	0.03%	545,526.7	0.09%
Louisiana Wholesale Drug Co	187.9 million	0.25%	1.7 million	0.27%
Vita Rx Corp	1.4 million	0.0%	8,466.4	0.0%
Universal Marine Med Supply	124,500.0	0.0%	536.2	0.0%
Alexander Infusion LLC	5.0	0.0%	0.0	0.0%
P M C Marketing Corp	33,100.0	0.0%	148.9	0.0%
Matrix	221,100.0	0.0%	1,312.2	0.0%
Pharmacy Medical Solutions Inc	3,400.0	0.0%	14.7	0.0%
Midwest Medical Supply Co	500.0	0.0%	2.3	0.0%
Prescription Supply Inc	51.5 million	0.07%	496,918.8	0.08%
Prescript Pharmaceuticals	1.2 million	0.0%	4,250.1	0.0%
Quest Pharmaceuticals Inc	122.1 million	0.16%	711,117.7	0.12%
The Harvard Drug Group	406.7 million	0.53%	2.6 million	0.43%
D & K Healthcare Resources	26.4 million	0.03%	211,753.3	0.03%
Stat Rx USA LLC	22.8 million	0.03%	166,751.3	0.03%
Drogueria Betances	36.1 million	0.05%	181,344.3	0.03%
Ashco Pharmaceuticals	392,550.0	0.0%	1,812.0	0.0%
KeySource Medical	164.8 million	0.22%	2.1 million	0.35%
Interpharm, Inc	78,000.0	0.0%	435.9	0.0%
AmeriDrugs, Inc.	11,500.0	0.0%	53.0	0.0%
Coast Laboratories Inc	18,487.5	0.0%	81.7	0.0%
NorMed	400.0	0.0%	1.2	0.0%
PharmaLink	4,116.1	0.0%	49.6	0.0%
Northland Veterinary Supply	700.0	0.0%	2.1	0.0%
Northwind Pharmaceuticals, LLC	918,448.0	0.0%	5,166.0	0.0%
Omega 2000 Inc	289,077.5	0.0%	5,276.7	0.0%
Palmetto State Pharma.	486,714.0	0.0%	3,961.8	0.0%
Ivesco, LLC	5,895.0	0.0%	17.8	0.0%
Catalent CTS	32,936.0	0.0%	174.9	0.0%
Duane Reade	9.7 million	0.01%	39,760.1	0.01%
Metro Medical Supply	195,760.0	0.0%	1,173.8	0.0%
Burlington Drug Company	46.4 million	0.06%	434,920.1	0.07%
Priority Healthcare	3.8 million	0.01%	20,455.4	0.0%
Savoy Medical Supply Company	100.0	0.0%	0.4	0.0%
St Mary's Medical Park Phcy	7.6 million	0.01%	35,019.0	0.01%
Poc Pharmacy Solutions, Inc.	340.0	0.0%	1.3	0.0%
Sun Pharmaceutical Industries, Inc.	493,200.0	0.0%	4,631.3	0.0%
Walgreen Co	12.6 billion	16.49%	90.8 million	14.92%
Meijer Distribution Inc #90	101.6 million	0.13%	423,889.9	0.07%
NuCare Pharmaceuticals	45.1 million	0.06%	980,980.7	0.16%
Quality Research Pharmaceutic	218,300.0	0.0%	1,072.9	0.0%
Wholesalers Group Inc	500.0	0.0%	2.3	0.0%
New England Medical Supply	3,200.0	0.0%	27.6	0.0%
DRx Pharmaceutical Consultants, Inc.	40.0 million	0.05%	185,799.5	0.03%
Lake Erie Medical	19.7 million	0.03%	133,975.5	0.02%
Buford Road Wholesale	45,100.0	0.0%	204.8	0.0%
Sunrise Wholesale, Inc	65.9 million	0.09%	1.5 million	0.25%
G Medical DBA Pharmaceutics	3,300.0	0.0%	14.5	0.0%
PSS World Medical Inc	4.3 million	0.01%	24,705.9	0.0%
Allscripts, LLC	20.1 million	0.03%	102,512.5	0.02%
Physicians Total Care	9.0 million	0.01%	104,653.9	0.02%
Dohmen Life Science Services, LLC	860,930.0	0.0%	14,371.7	0.0%
Hawthorn Pharmaceuticals Inc	1.8 million	0.0%	7,404.7	0.0%
Masters Speciality Pharma	211,600.0	0.0%	3,640.1	0.0%
Amneal Pharmaceuticals LLC	8.9 million	0.01%	48,561.1	0.01%
Cedardale Distributors LLC, DBA Gen-Source RX	25.5 million	0.03%	208,717.7	0.03%
