county_id,state,county,2006
01001,AL,Autauga,51328.0
01003,AL,Baldwin,168121.0
01005,AL,Barbour,27861.0
01007,AL,Bibb,22099.0
01009,AL,Blount,55485.0
01011,AL,Bullock,10776.0
01013,AL,Butler,20815.0
01015,AL,Calhoun,115388.0
01017,AL,Chambers,34945.0
01019,AL,Cherokee,25466.0
01021,AL,Chilton,42318.0
01023,AL,Choctaw,14431.0
01025,AL,Clarke,26755.0
01027,AL,Clay,14053.0
01029,AL,Cleburne,14538.0
01031,AL,Coffee,46228.0
01033,AL,Colbert,54413.0
01035,AL,Conecuh,13603.0
01037,AL,Coosa,11451.0
01039,AL,Covington,37441.0
01041,AL,Crenshaw,13880.0
01043,AL,Cullman,79044.0
01045,AL,Dale,49077.0
01047,AL,Dallas,44323.0
01049,AL,DeKalb,68495.0
01051,AL,Elmore,75246.0
01053,AL,Escambia,37673.0
01055,AL,Etowah,103528.0
01057,AL,Fayette,17767.0
01059,AL,Franklin,31134.0
01061,AL,Geneva,26271.0
01063,AL,Greene,9361.0
01065,AL,Hale,16427.0
01067,AL,Henry,16953.0
01069,AL,Houston,95846.0
01071,AL,Jackson,53483.0
01073,AL,Jefferson,655893.0
01075,AL,Lamar,14816.0
01077,AL,Lauderdale,90294.0
01079,AL,Lawrence,34028.0
01081,AL,Lee,129247.0
01083,AL,Limestone,73651.0
01085,AL,Lowndes,12124.0
01087,AL,Macon,22227.0
01089,AL,Madison,309170.0
01091,AL,Marengo,21531.0
01093,AL,Marion,30779.0
01095,AL,Marshall,88209.0
01097,AL,Mobile,402916.0
01099,AL,Monroe,23602.0
01101,AL,Montgomery,227291.0
01103,AL,Morgan,115491.0
01105,AL,Perry,10677.0
01107,AL,Pickens,20128.0
01109,AL,Pike,31309.0
01111,AL,Randolph,22695.0
01113,AL,Russell,50459.0
01115,AL,St. Clair,75948.0
01117,AL,Shelby,178841.0
01119,AL,Sumter,14059.0
01121,AL,Talladega,81991.0
01123,AL,Tallapoosa,41243.0
01125,AL,Tuscaloosa,181383.0
01127,AL,Walker,68234.0
01129,AL,Washington,17705.0
01131,AL,Wilcox,12221.0
01133,AL,Winston,24796.0
02013,AK,Aleutians East ,2794.0
02016,AK,Aleutians West Cens,5658.0
02020,AK,Anchorage ,280085.0
02050,AK,Bethel Cens,16755.0
02060,AK,Bristol Bay ,1111.0
02068,AK,Denali ,1837.0
02070,AK,Dillingham Cens,4833.0
02090,AK,Fairbanks North Star ,90545.0
02100,AK,Haines ,2300.0
02105,AK,Hoonah-Angoon Cens,0
02110,AK,Juneau ,30808.0
02122,AK,Kenai Peninsula ,52253.0
02130,AK,Ketchikan Gateway ,13492.0
02150,AK,Kodiak Island ,13184.0
02164,AK,Lake and Peninsula ,1624.0
02170,AK,Matanuska-Susitna ,78633.0
02180,AK,Nome Cens,9235.0
02185,AK,North Slope ,8315.0
02188,AK,Northwest Arctic ,7467.0
02195,AK,Petersburg Borough/Cens,0
02198,AK,Prince of Wales-Hyder Cens,0
02201,AK,Prince of Wales-Outer Ketchikan Cens,5574.0
02220,AK,Sitka ,9046.0
02230,AK,Skagway Munic,0
02232,AK,Skagway-Hoonah-Angoon Cens,3217.0
02240,AK,Southeast Fairbanks Cens,6817.0
02261,AK,Valdez-Cordova Cens,9828.0
02270,AK,Wade Hampton Cens,7292.0
02275,AK,Wrangell City and ,0
02280,AK,Wrangell-Petersburg Cens,6195.0
02282,AK,Yakutat ,642.0
02290,AK,Yukon-Koyukuk Cens,5762.0
04001,AZ,Apache,69390.0
04003,AZ,Cochise,127241.0
04005,AZ,Coconino,128695.0
04007,AZ,Gila,52541.0
04009,AZ,Graham,33701.0
04011,AZ,Greenlee,7838.0
04012,AZ,La Paz,20573.0
04013,AZ,Maricopa,3642884.0
04015,AZ,Mohave,196168.0
04017,AZ,Navajo,105624.0
04019,AZ,Pima,940930.0
04021,AZ,Pinal,271328.0
04023,AZ,Santa Cruz,44298.0
04025,AZ,Yavapai,204082.0
04027,AZ,Yuma,183848.0
05001,AR,Arkansas,19785.0
05003,AR,Ashley,22501.0
05005,AR,Baxter,40867.0
05007,AR,Benton,195569.0
05009,AR,Boone,36056.0
05011,AR,Bradley,11778.0
05013,AR,Calhoun,5693.0
05015,AR,Carroll,26615.0
05017,AR,Chicot,12516.0
05019,AR,Clark,22924.0
05021,AR,Clay,16679.0
05023,AR,Cleburne,25430.0
05025,AR,Cleveland,8829.0
05027,AR,Columbia,25133.0
05029,AR,Conway,20753.0
05031,AR,Craighead,89725.0
05033,AR,Crawford,59126.0
05035,AR,Crittenden,50360.0
05037,AR,Cross,18525.0
05039,AR,Dallas,8477.0
05041,AR,Desha,13870.0
