State,County,County_Code
AK,ANCHORAGE,02020
AL,CHEROKEE,01019
AL,JACKSON,01071
AL,JEFFERSON,01073
AL,MADISON,01089
AL,MARSHALL,01095
AL,SHELBY,01117
AL,TUSCALOOSA,01125
AR,BENTON,05007
AR,FAULKNER,05045
AR,GREENE,05055
AR,JEFFERSON,05069
AZ,COCONINO,04005
AZ,MARICOPA,04013
AZ,PIMA,04019
CA,ALAMEDA,06001
CA,KERN,06029
CA,KINGS,06031
CA,LOS ANGELES,06037
CA,MARIN,06041
CA,ORANGE,06059
CA,RIVERSIDE,06065
CA,SACRAMENTO,06067
CA,SAN BERNARDINO,06071
CA,SAN DIEGO,06073
CA,SAN JOAQUIN,06077
CA,SAN LUIS OBISPO,06079
CA,STANISLAUS,06099
CA,TULARE,06107
CA,VENTURA,06111
CA,YOLO,06113
CO,ADAMS,08001
CO,DENVER,08031
CO,JEFFERSON,08059
CT,FAIRFIELD,09001
CT,HARTFORD,09003
CT,NEW HAVEN,09009
CT,WINDHAM,09015
DC,DISTRICT OF COLUMBIA,11001
DE,NEW CASTLE,10003
FL,BROWARD,12011
FL,DUVAL,12031
FL,HILLSBOROUGH,12057
FL,INDIAN RIVER,12061
FL,LEON,12073
FL,MARION,12083
FL,ORANGE,12095
FL,PALM BEACH,12099
FL,PASCO,12101
FL,PINELLAS,12103
FL,POLK,12105
FL,SUWANNEE,12121
FL,VOLUSIA,12127
GA,COBB,13067
GA,COWETA,13077
GA,FLOYD,13115
GA,FORSYTH,13117
GA,FULTON,13121
GA,GWINNETT,13135
GA,HALL,13139
GA,HENRY,13151
GA,LOWNDES,13185
GA,MUSCOGEE,13215
GA,RICHMOND,13245
GA,TIFT,13277
GU,GUAM,66010
HI,HONOLULU,15003
IA,BOONE,19015
IA,HARDIN,19083
IA,LUCAS,19117
IA,POLK,19153
IA,SIOUX,19167
ID,CANYON,16027
IL,COOK,17031
IL,DUPAGE,17043
IL,JEFFERSON,17081
IL,KANE,17089
IL,LAKE,17097
IL,SANGAMON,17167
IL,WILL,17197
IN,BOONE,18011
IN,HAMILTON,18057
