County_cd,State,County_nm,pills
02016,AK,ALEUTIANS WEST,29900
02020,AK,ANCHORAGE,9142394
02050,AK,BETHEL,400
02090,AK,FAIRBANKS NORTH STAR,2382350
02100,AK,HAINES,60700
02110,AK,JUNEAU,853700
02122,AK,KENAI PENINSULA,2609330
02130,AK,KETCHIKAN GATEWAY,555020
02150,AK,KODIAK ISLAND,278000
02170,AK,MATANUSKA SUSITNA,3395620
02180,AK,NOME,300
02185,AK,NORTH SLOPE,600
02195,AK,PETERSBURG,109200
02198,AK,PRINCE OF WALES HYDER,113900
02220,AK,SITKA,265900
02240,AK,SOUTHEAST FAIRBANKS,100500
02261,AK,VALDEZ CORDOVA,274200
02275,AK,WRANGELL,51600
01001,AL,AUTAUGA,3118960
01003,AL,BALDWIN,9668050
01005,AL,BARBOUR,1115140
01007,AL,BIBB,1018370
01009,AL,BLOUNT,1689220
01011,AL,BULLOCK,270410
01013,AL,BUTLER,1070420
01015,AL,CALHOUN,7162864
01017,AL,CHAMBERS,1852520
01019,AL,CHEROKEE,1808580
01021,AL,CHILTON,2040540
01023,AL,CHOCTAW,667610
01025,AL,CLARKE,1179270
01027,AL,CLAY,670720
01029,AL,CLEBURNE,349100
01031,AL,COFFEE,2161240
01033,AL,COLBERT,4614280
01035,AL,CONECUH,919340
01037,AL,COOSA,183250
01039,AL,COVINGTON,2490610
01041,AL,CRENSHAW,507110
01043,AL,CULLMAN,4849320
01045,AL,DALE,1805780
01047,AL,DALLAS,1504230
01049,AL,DE KALB,3343160
01051,AL,ELMORE,3192483
01053,AL,ESCAMBIA,2190400
01055,AL,ETOWAH,7806020
01057,AL,FAYETTE,666000
01059,AL,FRANKLIN,2675460
01061,AL,GENEVA,1166370
01063,AL,GREENE,114900
01065,AL,HALE,385990
01067,AL,HENRY,457250
01069,AL,HOUSTON,5227320
01071,AL,JACKSON,4216470
01073,AL,JEFFERSON,34386850
01075,AL,LAMAR,745200
01077,AL,LAUDERDALE,4851590
01079,AL,LAWRENCE,1619110
01081,AL,LEE,2726030
01083,AL,LIMESTONE,2760010
01085,AL,LOWNDES,165300
01087,AL,MACON,429820
01089,AL,MADISON,16404346
01091,AL,MARENGO,803740
01093,AL,MARION,3181040
01095,AL,MARSHALL,6686810
01097,AL,MOBILE,20994469
01099,AL,MONROE,953040
01101,AL,MONTGOMERY,8299432
01103,AL,MORGAN,7277090
01105,AL,PERRY,177650
01107,AL,PICKENS,558120
01109,AL,PIKE,1364140
01111,AL,RANDOLPH,957810
01113,AL,RUSSELL,2802230
01115,AL,SAINT CLAIR,3040120
01117,AL,SHELBY,7942810
01119,AL,SUMTER,271600
01121,AL,TALLADEGA,4773000
01123,AL,TALLAPOOSA,1521070
01125,AL,TUSCALOOSA,7027690
01127,AL,WALKER,9775800
01129,AL,WASHINGTON,151800
01131,AL,WILCOX,156000
01133,AL,WINSTON,2144463
05001,AR,ARKANSAS,1017990
05003,AR,ASHLEY,775080
05005,AR,BAXTER,2208850
05007,AR,BENTON,7715270
05009,AR,BOONE,1839060
05011,AR,BRADLEY,377100
05013,AR,CALHOUN,251220
05015,AR,CARROLL,1794220
05017,AR,CHICOT,555200
05019,AR,CLARK,1034910
05021,AR,CLAY,648590
05023,AR,CLEBURNE,1094720
05027,AR,COLUMBIA,920100
05029,AR,CONWAY,1025760
05031,AR,CRAIGHEAD,5164762
05033,AR,CRAWFORD,3687960
05035,AR,CRITTENDEN,1886870
05037,AR,CROSS,540260
05039,AR,DALLAS,289000
05041,AR,DESHA,479490
05043,AR,DREW,597700
05045,AR,FAULKNER,3467690
05047,AR,FRANKLIN,970810
05049,AR,FULTON,867760
05051,AR,GARLAND,6126120
05053,AR,GRANT,547000
05055,AR,GREENE,2437680
05057,AR,HEMPSTEAD,984190
05059,AR,HOT SPRING,1053800
05061,AR,HOWARD,680400
05063,AR,INDEPENDENCE,2121690
05065,AR,IZARD,1465500
05067,AR,JACKSON,895750
05069,AR,JEFFERSON,1965440
05071,AR,JOHNSON,1203500
05073,AR,LAFAYETTE,242050
