county_id,state,county,2006,2007,2008,2009,2010,2011,2012
04013,AZ,Maricopa,541,575,518,566,609,627,630
04019,AZ,Pima,184,149,92,172,205,184,214
06029,CA,Kern,66,75,92,114,117,135,141
06037,CA,Los Angeles,689,755,707,770,700,684,682
06059,CA,Orange,247,287,324,336,313,319,320
06065,CA,Riverside,161,216,219,238,255,254,286
06067,CA,Sacramento,226,212,260,246,216,213,198
06073,CA,San Diego,305,357,361,368,367,415,424
06075,CA,San Francisco,129,186,163,163,170,194,121
08031,CO,Denver,113,132,154,155,95,147,88
11001,DC,District of C,63,10,0,0,20,42,21
12011,FL,Broward,258,270,314,306,262,242,234
12031,FL,Duval,122,136,57,96,115,131,157
12057,FL,Hillsborough,186,258,237,273,254,245,190
12086,FL,Miami-Dade,122,123,127,130,32,95,96
12099,FL,Palm Beach,211,262,271,276,238,193,183
12103,FL,Pinellas,208,230,271,265,284,251,231
12127,FL,Volusia,22,12,50,67,55,35,21
17031,IL,Cook,755,518,544,530,488,503,615
24005,MD,Baltimore,115,111,102,100,106,72,151
24510,MD,Baltimo,241,242,155,191,115,114,170
25025,MA,Suffolk,146,96,43,78,10,36,45
25027,MA,Worcester,66,55,49,24,46,79,66
26099,MI,Macomb,127,169,172,200,196,211,175
26163,MI,Wayne,328,279,269,306,272,278,296
29189,MO,St. Louis,75,21,52,96,138,144,145
32003,NV,Clark,343,376,364,395,390,456,424
34007,NJ,Camden,112,56,22,11,45,75,93
34013,NJ,Essex,51,14,0,0,33,12,24
35001,NM,Bernalillo,171,182,219,157,186,206,194
36005,NY,Bronx,193,164,111,104,76,104,165
36047,NY,Kings,255,216,186,174,165,191,206
36059,NY,Nassau,107,108,112,92,45,141,150
36061,NY,New York,200,138,124,85,44,79,178
36081,NY,Queens,159,158,90,86,102,101,103
36103,NY,Suffolk,143,174,193,153,192,279,288
39035,OH,Cuyahoga,186,147,167,120,176,230,246
39049,OH,Franklin,181,211,199,118,239,244,233
39061,OH,Hamilton,72,59,102,36,81,180,173
39113,OH,Montgomery,120,118,159,57,93,93,163
40143,OK,Tulsa,71,125,88,129,124,69,84
41051,OR,Multnomah,113,157,101,89,95,127,94
42003,PA,Allegheny,128,197,223,219,234,247,280
42101,PA,Philadelphia,433,356,383,351,342,436,460
47037,TN,Davidson,34,22,32,43,47,25,58
47093,TN,Knox,66,38,41,0,41,20,45
47157,TN,Shelby,47,84,47,90,123,35,117
48029,TX,Bexar,152,75,130,194,195,264,189
48113,TX,Dallas,223,218,175,217,213,240,266
48201,TX,Harris,399,501,270,414,445,385,368
48439,TX,Tarrant,54,116,91,137,112,168,173
49035,UT,Salt Lake,185,218,211,215,159,205,248
53033,WA,King,259,258,237,239,246,236,261
55079,WI,Milwaukee,177,190,179,165,164,191,181
06001,CA,Alameda,142,190,149,138,95,159,99
12009,FL,Brevard,49,38,83,110,105,96,79
25017,MA,Middlesex,153,148,146,149,106,163,140
06019,CA,Fresno,35,35,33,84,57,33,11
06077,CA,San Joaquin,20,48,58,77,82,122,49
09003,CT,Hartford,70,90,35,12,10,41,70
09009,CT,New Haven,84,74,59,83,77,112,60
17197,IL,Will,11,11,0,0,0,21,21
25005,MA,Bristol,80,32,47,10,59,59,68
25009,MA,Essex,88,94,20,15,0,20,54
25023,MA,Plymouth,10,11,0,0,0,12,0
26125,MI,Oakland,37,11,0,50,33,11,40
36119,NY,Westchester,21,31,0,10,0,24,42
40109,OK,Oklahoma,43,110,74,83,144,114,170
41029,OR,Jackson,11,0,0,0,0,0,0
53063,WA,Spokane,36,47,98,21,20,25,32
06111,CA,Ventura,49,12,10,24,45,63,59
13067,GA,Cobb,10,0,12,0,0,0,12
20173,KS,Sedgwick,22,0,10,20,10,0,10
22051,LA,Jefferson,75,76,30,25,11,22,36
27053,MN,Hennepin,45,31,45,31,65,73,115
42045,PA,Delaware,66,59,50,83,89,124,146
44007,RI,Providence,75,25,68,44,59,72,66
48453,TX,Travis,49,35,35,77,66,146,138
49049,UT,Utah,12,11,0,20,23,36,30
53053,WA,Pierce,21,86,108,90,62,100,86
06013,CA,Contra Costa,25,45,81,48,52,103,86
08041,CO,El Paso,10,13,41,22,23,65,34
09001,CT,Fairfield,35,10,22,22,0,23,12
12071,FL,Lee,39,36,31,34,72,21,11
12101,FL,Pasco,46,87,126,151,173,146,63
13121,GA,Fulton,33,54,81,13,56,45,43
18097,IN,Marion,50,87,121,110,133,135,192
24003,MD,Anne Arundel,10,0,10,43,22,11,10
37081,NC,Guilford,12,0,0,0,0,0,0
42017,PA,Bucks,51,20,46,12,50,105,63
45045,SC,Greenville,12,21,26,10,0,22,21
48141,TX,El Paso,22,0,0,0,0,10,0
12095,FL,Orange,45,55,96,87,133,133,112
12105,FL,Polk,11,10,35,62,43,82,22
17043,IL,DuPage,10,0,10,10,11,12,69
22103,LA,St. Tammany,10,11,10,0,0,0,0
29510,MO,St. Lou,22,0,0,10,10,11,10
34015,NJ,Gloucester,43,0,0,0,0,0,0
42091,PA,Montgomery,57,34,47,65,73,60,109
53061,WA,Snohomish,40,58,77,102,67,162,93
06071,CA,San Bernardino,49,10,71,96,101,78,96
06085,CA,Santa Clara,26,133,63,68,82,102,125
06099,CA,Stanislaus,16,23,0,22,46,21,11
08001,CO,Adams,31,22,21,11,0,33,37
12115,FL,Sarasota,10,11,22,0,43,25,21
25021,MA,Norfolk,11,13,22,22,21,11,22
29095,MO,Jackson,31,36,16,56,55,45,37
06097,CA,Sonoma,11,0,0,0,30,0,18
21111,KY,Jefferson,25,37,40,20,59,127,161
48339,TX,Montgomery,20,0,0,0,0,0,0
39017,OH,Butler,12,0,10,21,21,25,34
01073,AL,Jefferson,11,34,24,44,0,24,11
17097,IL,Lake,11,0,23,32,23,15,31
37119,NC,Mecklenburg,10,0,0,0,0,0,21
15003,HI,Honolulu,14,44,32,35,45,66,51
29077,MO,Greene,10,34,0,0,32,0,0
45083,SC,Spartanburg,10,0,13,10,0,0,0
34003,NJ,Bergen,0,22,0,0,0,32,22
51059,VA,Fairfax,0,20,0,10,0,0,0
08005,CO,Arapahoe,0,41,13,55,44,22,20
39095,OH,Lucas,0,33,0,0,0,0,50
12111,FL,St. Lucie,0,10,0,0,10,0,0
22019,LA,Calcasieu,0,11,0,0,0,0,0
36055,NY,Monroe,0,10,0,10,13,10,12
32031,NV,Washoe,0,21,26,23,36,82,64
24031,MD,Montgomery,0,12,0,0,0,0,0
25013,MA,Hampden,0,24,0,21,12,11,10
34023,NJ,Middlesex,0,11,0,0,0,10,32
34025,NJ,Monmouth,0,10,0,0,24,43,31
42129,PA,Westmoreland,0,10,0,0,10,23,54
48167,TX,Galveston,0,11,0,0,0,0,0
12081,FL,Manatee,0,10,0,12,10,25,10
37183,NC,Wake,0,11,10,10,20,12,0
39155,OH,Trumbull,0,10,0,0,0,12,0
53011,WA,Clark,0,20,0,0,0,0,0
36029,NY,Erie,0,11,32,39,30,56,27
10003,DE,New Castle,0,0,12,22,22,22,31
48355,TX,Nueces,0,0,13,11,0,10,0
01097,AL,Mobile,0,0,10,13,0,10,10
02020,AK,Anchorage ,0,0,11,0,0,0,0
54039,WV,Kanawha,0,0,21,0,0,0,0
26049,MI,Genesee,0,0,24,42,59,34,35
42077,PA,Lehigh,0,0,11,0,0,0,0
06081,CA,San Mateo,0,0,11,0,0,0,0
15001,HI,Hawaii,0,0,10,0,0,0,0
17201,IL,Winnebago,0,0,11,0,12,0,10
06007,CA,Butte,0,0,10,0,34,11,11
42079,PA,Luzerne,0,0,20,0,0,0,10
08069,CO,Larimer,0,0,10,10,0,0,0
39153,OH,Summit,0,0,11,0,22,11,52
06083,CA,Santa Barbara,0,0,0,10,0,0,0
12117,FL,Seminole,0,0,0,10,0,12,0
41039,OR,Lane,0,0,0,11,0,0,0
42011,PA,Berks,0,0,0,20,11,0,0
48085,TX,Collin,0,0,0,10,0,0,0
12021,FL,Collier,0,0,0,10,0,0,0
34039,NJ,Union,0,0,0,0,10,0,0
47155,TN,Sevier,0,0,0,0,10,0,0
55025,WI,Dane,0,0,0,0,22,0,0
17119,IL,Madison,0,0,0,0,10,0,0
06089,CA,Shasta,0,0,0,0,11,0,0
34029,NJ,Ocean,0,0,0,0,10,32,85
36085,NY,Richmond,0,0,0,0,10,36,35
04015,AZ,Mohave,0,0,0,0,11,0,0
06023,CA,Humboldt,0,0,0,0,10,0,0
42029,PA,Chester,0,0,0,0,10,31,0
55133,WI,Waukesha,0,0,0,0,10,0,0
12017,FL,Citrus,0,0,0,0,10,0,0
21117,KY,Kenton,0,0,0,0,10,0,0
33015,NH,Rockingham,0,0,0,0,0,10,0
24033,MD,Prince George's,0,0,0,0,0,10,10
27123,MN,Ramsey,0,0,0,0,0,10,10
04025,AZ,Yavapai,0,0,0,0,0,10,10
49057,UT,Weber,0,0,0,0,0,10,0
08059,CO,Jefferson,0,0,0,0,0,10,0
26081,MI,Kent,0,0,0,0,0,11,10
06087,CA,Santa Cruz,0,0,0,0,0,10,11
06095,CA,Solano,0,0,0,0,0,10,0
19153,IA,Polk,0,0,0,0,0,12,10
34005,NJ,Burlington,0,0,0,0,0,0,40
44003,RI,Kent,0,0,0,0,0,0,12
29099,MO,Jefferson,0,0,0,0,0,0,30
18163,IN,Vanderburgh,0,0,0,0,0,0,11
34001,NJ,Atlantic,0,0,0,0,0,0,11
49011,UT,Davis,0,0,0,0,0,0,20
39099,OH,Mahoning,0,0,0,0,0,0,10
22071,LA,Orleans,0,0,0,0,0,0,11
48121,TX,Denton,0,0,0,0,0,0,10
34017,NJ,Hudson,0,0,0,0,0,0,13
21037,KY,Campbell,0,0,0,0,0,0,10
