County_Code,Deaths,Population,State,County_nm
01001,-1,54135,AL,Autauga
01003,32,179406,AL,Baldwin
01005,-1,27657,AL,Barbour
01007,-1,22941,AL,Bibb
01009,11,57341,AL,Blount
01011,-1,10987,AL,Bullock
01013,-1,20867,AL,Butler
01015,15,118363,AL,Calhoun
01017,-1,34384,AL,Chambers
01019,-1,25854,AL,Cherokee
01021,-1,43484,AL,Chilton
01023,-1,13976,AL,Choctaw
01025,-1,26038,AL,Clarke
01027,-1,14006,AL,Clay
01029,-1,14918,AL,Cleburne
01031,-1,49440,AL,Coffee
01033,-1,54426,AL,Colbert
01035,-1,13274,AL,Conecuh
01037,-1,11410,AL,Coosa
01039,-1,37648,AL,Covington
01041,-1,14024,AL,Crenshaw
01043,-1,80351,AL,Cullman
01045,-1,49854,AL,Dale
01047,-1,43759,AL,Dallas
01049,14,70864,AL,DeKalb
01051,-1,78632,AL,Elmore
01053,17,38249,AL,Escambia
01055,15,104239,AL,Etowah
01057,-1,17310,AL,Fayette
01059,-1,31589,AL,Franklin
01061,-1,26653,AL,Geneva
01063,-1,9182,AL,Greene
01065,-1,16025,AL,Hale
01067,-1,17243,AL,Henry
01069,11,100500,AL,Houston
01071,-1,53461,AL,Jackson
01073,95,658441,AL,Jefferson
01075,-1,14689,AL,Lamar
01077,-1,92526,AL,Lauderdale
01079,10,34315,AL,Lawrence
01081,11,138566,AL,Lee
01083,12,81326,AL,Limestone
01085,-1,11486,AL,Lowndes
01087,-1,21190,AL,Macon
01089,31,330856,AL,Madison
01091,-1,21170,AL,Marengo
01093,-1,30646,AL,Marion
01095,-1,92213,AL,Marshall
01097,61,411994,AL,Mobile
01099,-1,23218,AL,Monroe
01101,12,227607,AL,Montgomery
01103,31,118954,AL,Morgan
01105,-1,10690,AL,Perry
01107,-1,19814,AL,Pickens
01109,-1,32560,AL,Pike
01111,-1,22864,AL,Randolph
01113,-1,52162,AL,Russell
01115,12,83009,AL,St. Clair
01117,32,192708,AL,Shelby
01119,-1,13746,AL,Sumter
01121,-1,82674,AL,Talladega
01123,-1,41831,AL,Tallapoosa
01125,32,192792,AL,Tuscaloosa
01127,32,67347,AL,Walker
01129,-1,17493,AL,Washington
01131,-1,11870,AL,Wilcox
01133,-1,24691,AL,Winston
02013,-1,3084,AK,Aleutians East 
02016,-1,5537,AK,Aleutians West Cens
02020,59,287677,AK,Anchorage 
02050,-1,16860,AK,Bethel Cens
02060,-1,976,AK,Bristol Bay 
02068,-1,1817,AK,Denali 
02070,-1,4776,AK,Dillingham Cens
02090,20,95238,AK,Fairbanks North Star 
02100,-1,2486,AK,Haines 
02105,Missing,Missing,AK,Hoonah-Angoon Cens
02110,-1,30857,AK,Juneau 
02122,14,54796,AK,Kenai Peninsula 
02130,-1,13294,AK,Ketchikan Gateway 
02150,-1,13505,AK,Kodiak Island 
02164,-1,1612,AK,Lake and Peninsula 
02170,19,86885,AK,Matanuska-Susitna 
02180,-1,9313,AK,Nome Cens
02185,-1,9105,AK,North Slope 
02188,-1,7467,AK,Northwest Arctic 
02195,Missing,Missing,AK,Petersburg Borough/Cens
02198,Missing,Missing,AK,Prince of Wales-Hyder Cens
02201,-1,5465,AK,Prince of Wales-Outer Ketchikan Cens
02220,-1,8844,AK,Sitka 
02230,Missing,Missing,AK,Skagway Munic
02232,-1,3119,AK,Skagway-Hoonah-Angoon Cens
02240,-1,6955,AK,Southeast Fairbanks Cens
02261,-1,9492,AK,Valdez-Cordova Cens
02270,-1,7469,AK,Wade Hampton Cens
02275,Missing,Missing,AK,Wrangell City and 
02280,-1,6106,AK,Wrangell-Petersburg Cens
02282,-1,665,AK,Yakutat 
02290,-1,5495,AK,Yukon-Koyukuk Cens
04001,-1,71008,AZ,Apache
04003,19,130081,AZ,Cochise
04005,18,133477,AZ,Coconino
04007,12,53561,AZ,Gila
04009,-1,37525,AZ,Graham
04011,-1,8635,AZ,Greenlee
04012,-1,20514,AZ,La Paz
04013,566,3803779,AZ,Maricopa
