"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	55027	Suppressed
	"Baldwin County, AL"	"01003"	34	190403	17.9
	"Barbour County, AL"	"01005"	Suppressed	27132	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22645	Suppressed
	"Blount County, AL"	"01009"	17	57772	29.4 (Unreliable)
	"Bullock County, AL"	"01011"	Suppressed	10654	Suppressed
	"Butler County, AL"	"01013"	Suppressed	20665	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	117208	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	34084	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	26017	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	43693	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	13549	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	25148	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13461	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14928	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	51180	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54493	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	13007	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	11201	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37842	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13920	Suppressed
	"Cullman County, AL"	"01043"	12	80351	14.9 (Unreliable)
	"Dale County, AL"	"01045"	Suppressed	50296	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	42748	Suppressed
	"DeKalb County, AL"	"01049"	16	70961	22.5 (Unreliable)
	"Elmore County, AL"	"01051"	Suppressed	80291	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	38063	Suppressed
	"Etowah County, AL"	"01055"	Suppressed	104215	Suppressed
	"Fayette County, AL"	"01057"	Suppressed	16966	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31652	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	27012	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8837	Suppressed
	"Hale County, AL"	"01065"	Suppressed	15393	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17237	Suppressed
	"Houston County, AL"	"01069"	10	103382	9.7 (Unreliable)
	"Jackson County, AL"	"01071"	13	53087	24.5 (Unreliable)
	"Jefferson County, AL"	"01073"	72	657639	10.9
	"Lamar County, AL"	"01075"	Suppressed	14257	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	92694	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	33788	Suppressed
	"Lee County, AL"	"01081"	10	148289	6.7 (Unreliable)
	"Limestone County, AL"	"01083"	Suppressed	87368	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10835	Suppressed
	"Macon County, AL"	"01087"	Suppressed	20632	Suppressed
	"Madison County, AL"	"01089"	28	342773	8.2
	"Marengo County, AL"	"01091"	Suppressed	20451	Suppressed
	"Marion County, AL"	"01093"	Suppressed	30520	Suppressed
	"Marshall County, AL"	"01095"	14	94182	14.9 (Unreliable)
	"Mobile County, AL"	"01097"	59	413760	14.3
	"Monroe County, AL"	"01099"	Suppressed	22593	Suppressed
	"Montgomery County, AL"	"01101"	17	228708	7.4 (Unreliable)
	"Morgan County, AL"	"01103"	20	120123	16.6
	"Perry County, AL"	"01105"	Suppressed	10184	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	19359	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33113	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22623	Suppressed
	"Russell County, AL"	"01113"	Suppressed	57626	Suppressed
	"St. Clair County, AL"	"01115"	10	85168	11.7 (Unreliable)
	"Shelby County, AL"	"01117"	38	200789	18.9
	"Sumter County, AL"	"01119"	Suppressed	13448	Suppressed
	"Talladega County, AL"	"01121"	10	81941	12.2 (Unreliable)
	"Tallapoosa County, AL"	"01123"	Suppressed	41144	Suppressed
	"Tuscaloosa County, AL"	"01125"	31	198581	15.6
	"Walker County, AL"	"01127"	23	66211	34.7
	"Washington County, AL"	"01129"	Suppressed	17115	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	11355	Suppressed
	"Winston County, AL"	"01133"	Suppressed	24171	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3285	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5688	Suppressed
	"Anchorage Borough, AK"	"02020"	62	298527	20.8
	"Bethel Census Area, AK"	"02050"	Suppressed	17695	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	983	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	1913	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4963	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	10	100330	10.0 (Unreliable)
	"Haines Borough, AK"	"02100"	Suppressed	2572	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Missing	Missing	Missing
	"Juneau Borough, AK"	"02110"	Suppressed	32434	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	12	56952	21.1 (Unreliable)
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13711	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	14051	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1644	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	24	93791	25.6
	"Nome Census Area, AK"	"02180"	Suppressed	9873	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9662	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7721	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Missing	Missing	Missing
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Missing	Missing	Missing
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Suppressed	6375	Suppressed
	"Sitka Borough, AK"	"02220"	Suppressed	9048	Suppressed
	"Skagway Municipality, AK"	"02230"	Missing	Missing	Missing
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Suppressed	3121	Suppressed
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	7179	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9729	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	7792	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Missing	Missing	Missing
	"Wrangell-Petersburg Census Area, AK"	"02280"	Suppressed	5665	Suppressed
	"Yakutat Borough, AK"	"02282"	Suppressed	657	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5728	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	72968	Suppressed
	"Cochise County, AZ"	"04003"	24	131843	18.2
	"Coconino County, AZ"	"04005"	11	135999	8.1 (Unreliable)
	"Gila County, AZ"	"04007"	11	53036	20.7 (Unreliable)
	"Graham County, AZ"	"04009"	Suppressed	36958	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	8763	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20365	Suppressed
	"Maricopa County, AZ"	"04013"	631	3942959	16.0
	"Mohave County, AZ"	"04015"	67	203126	33.0
	"Navajo County, AZ"	"04017"	20	107037	18.7
	"Pima County, AZ"	"04019"	214	992490	21.6
	"Pinal County, AZ"	"04021"	45	382259	11.8
	"Santa Cruz County, AZ"	"04023"	Suppressed	47321	Suppressed
	"Yavapai County, AZ"	"04025"	66	212350	31.1
	"Yuma County, AZ"	"04027"	33	202160	16.3
	"Arkansas County, AR"	"05001"	Suppressed	18978	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	21491	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	41068	Suppressed
	"Benton County, AR"	"05007"	30	234243	12.8
	"Boone County, AR"	"05009"	Suppressed	37356	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	11273	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5306	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	27574	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	11473	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22807	Suppressed
	"Clay County, AR"	"05021"	Suppressed	15568	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	25824	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8615	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	24429	Suppressed
	"Conway County, AR"	"05029"	Suppressed	21205	Suppressed
	"Craighead County, AR"	"05031"	10	99948	10.0 (Unreliable)
	"Crawford County, AR"	"05033"	Suppressed	61940	Suppressed
	"Crittenden County, AR"	"05035"	Suppressed	50065	Suppressed
	"Cross County, AR"	"05037"	Suppressed	17651	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	7979	Suppressed
	"Desha County, AR"	"05041"	Suppressed	12575	Suppressed
	"Drew County, AR"	"05043"	Suppressed	18762	Suppressed
	"Faulkner County, AR"	"05045"	15	118534	12.7 (Unreliable)
	"Franklin County, AR"	"05047"	Suppressed	17957	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	12246	Suppressed
	"Garland County, AR"	"05051"	24	96794	24.8
	"Grant County, AR"	"05053"	Suppressed	18026	Suppressed
	"Greene County, AR"	"05055"	Suppressed	43166	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	22346	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	33457	Suppressed
	"Howard County, AR"	"05061"	Suppressed	13693	Suppressed
	"Independence County, AR"	"05063"	Suppressed	36925	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13522	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	17649	Suppressed
	"Jefferson County, AR"	"05069"	Suppressed	74618	Suppressed
	"Johnson County, AR"	"05071"	Suppressed	25911	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	7441	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	17047	Suppressed
	"Lee County, AR"	"05077"	Suppressed	10162	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	14139	Suppressed
