"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Maricopa County, AZ"	"04013"	44	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Pima County, AZ"	"04019"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Kern County, CA"	"06029"	12	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Los Angeles County, CA"	"06037"	52	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Orange County, CA"	"06059"	21	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Riverside County, CA"	"06065"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Sacramento County, CA"	"06067"	21	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"San Diego County, CA"	"06073"	23	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"San Francisco County, CA"	"06075"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Denver County, CO"	"08031"	12	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"District of Columbia, DC"	"11001"	10	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Broward County, FL"	"12011"	18	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Duval County, FL"	"12031"	21	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Hillsborough County, FL"	"12057"	19	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Miami-Dade County, FL"	"12086"	14	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Palm Beach County, FL"	"12099"	18	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Pinellas County, FL"	"12103"	16	Not Applicable	Not Applicable
	"2006"	"2006"	"Jan., 2006"	"2006/01"	"Volusia County, FL"	"12127"	11	Not Applicable	Not Applicable
