"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	31	375998	8.2
	"Baldwin County, AL"	"01003"	193	1255079	15.4
	"Barbour County, AL"	"01005"	Suppressed	192998	Suppressed
	"Bibb County, AL"	"01007"	30	158479	18.9
	"Blount County, AL"	"01009"	73	398922	18.3
	"Bullock County, AL"	"01011"	Suppressed	76017	Suppressed
	"Butler County, AL"	"01013"	13	145985	8.9 (Unreliable)
	"Calhoun County, AL"	"01015"	99	820752	12.1
	"Chambers County, AL"	"01017"	24	241044	10.0
	"Cherokee County, AL"	"01019"	30	180588	16.6
	"Chilton County, AL"	"01021"	57	303016	18.8
	"Choctaw County, AL"	"01023"	Suppressed	97755	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	182042	Suppressed
	"Clay County, AL"	"01027"	Suppressed	97374	Suppressed
	"Cleburne County, AL"	"01029"	11	104005	10.6 (Unreliable)
	"Coffee County, AL"	"01031"	21	343254	6.1
	"Colbert County, AL"	"01033"	19	381179	5.0 (Unreliable)
	"Conecuh County, AL"	"01035"	Suppressed	93134	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	79902	Suppressed
	"Covington County, AL"	"01039"	13	263938	4.9 (Unreliable)
	"Crenshaw County, AL"	"01041"	Suppressed	97511	Suppressed
	"Cullman County, AL"	"01043"	55	560458	9.8
	"Dale County, AL"	"01045"	28	348956	8.0
	"Dallas County, AL"	"01047"	16	306316	5.2 (Unreliable)
	"DeKalb County, AL"	"01049"	78	492496	15.8
	"Elmore County, AL"	"01051"	37	548324	6.7
	"Escambia County, AL"	"01053"	70	266299	26.3
	"Etowah County, AL"	"01055"	92	728747	12.6
	"Fayette County, AL"	"01057"	21	121411	17.3
	"Franklin County, AL"	"01059"	39	220276	17.7
	"Geneva County, AL"	"01061"	13	186537	7.0 (Unreliable)
	"Greene County, AL"	"01063"	Suppressed	64095	Suppressed
	"Hale County, AL"	"01065"	Suppressed	111660	Suppressed
	"Henry County, AL"	"01067"	11	120377	9.1 (Unreliable)
	"Houston County, AL"	"01069"	77	700665	11.0
	"Jackson County, AL"	"01071"	43	373391	11.5
	"Jefferson County, AL"	"01073"	532	4599781	11.6
