"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Maricopa County, AZ"	"04013"	47	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Pima County, AZ"	"04019"	19	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Alameda County, CA"	"06001"	18	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Los Angeles County, CA"	"06037"	65	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Orange County, CA"	"06059"	23	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Riverside County, CA"	"06065"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Sacramento County, CA"	"06067"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"San Diego County, CA"	"06073"	35	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"San Francisco County, CA"	"06075"	25	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Santa Clara County, CA"	"06085"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Hartford County, CT"	"09003"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Broward County, FL"	"12011"	20	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Duval County, FL"	"12031"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Hillsborough County, FL"	"12057"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Miami-Dade County, FL"	"12086"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Palm Beach County, FL"	"12099"	21	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Pinellas County, FL"	"12103"	22	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Cook County, IL"	"17031"	39	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Baltimore city, MD"	"24510"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Essex County, MA"	"25009"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Middlesex County, MA"	"25017"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Suffolk County, MA"	"25025"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Worcester County, MA"	"25027"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Macomb County, MI"	"26099"	16	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Wayne County, MI"	"26163"	26	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Greene County, MO"	"29077"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Clark County, NV"	"32003"	22	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Bergen County, NJ"	"34003"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Camden County, NJ"	"34007"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Bernalillo County, NM"	"35001"	17	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Bronx County, NY"	"36005"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Kings County, NY"	"36047"	16	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"New York County, NY"	"36061"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Queens County, NY"	"36081"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Suffolk County, NY"	"36103"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Cuyahoga County, OH"	"39035"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Franklin County, OH"	"39049"	19	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Montgomery County, OH"	"39113"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Oklahoma County, OK"	"40109"	16	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Tulsa County, OK"	"40143"	19	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Multnomah County, OR"	"41051"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Bucks County, PA"	"42017"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Delaware County, PA"	"42045"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Philadelphia County, PA"	"42101"	26	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Greenville County, SC"	"45045"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Davidson County, TN"	"47037"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Shelby County, TN"	"47157"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Bexar County, TX"	"48029"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Dallas County, TX"	"48113"	20	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Harris County, TX"	"48201"	36	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Salt Lake County, UT"	"49035"	17	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Fairfax County, VA"	"51059"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"King County, WA"	"53033"	21	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Pierce County, WA"	"53053"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Jan., 2007"	"2007/01"	"Milwaukee County, WI"	"55079"	20	Not Applicable	Not Applicable
"Total"	"2007"	"2007"	"Jan., 2007"	"2007/01"			3042	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Maricopa County, AZ"	"04013"	40	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Pima County, AZ"	"04019"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Alameda County, CA"	"06001"	17	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Fresno County, CA"	"06019"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Los Angeles County, CA"	"06037"	52	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Orange County, CA"	"06059"	27	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Riverside County, CA"	"06065"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Sacramento County, CA"	"06067"	21	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"San Diego County, CA"	"06073"	28	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"San Francisco County, CA"	"06075"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Santa Clara County, CA"	"06085"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Adams County, CO"	"08001"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Denver County, CO"	"08031"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"New Haven County, CT"	"09009"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"District of Columbia, DC"	"11001"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Broward County, FL"	"12011"	23	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Duval County, FL"	"12031"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Hillsborough County, FL"	"12057"	19	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Miami-Dade County, FL"	"12086"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Palm Beach County, FL"	"12099"	20	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Pasco County, FL"	"12101"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Pinellas County, FL"	"12103"	28	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Fulton County, GA"	"13121"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Cook County, IL"	"17031"	27	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Marion County, IN"	"18097"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Baltimore city, MD"	"24510"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Essex County, MA"	"25009"	13	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Middlesex County, MA"	"25017"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Plymouth County, MA"	"25023"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Suffolk County, MA"	"25025"	19	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Macomb County, MI"	"26099"	12	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Wayne County, MI"	"26163"	24	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Greene County, MO"	"29077"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Clark County, NV"	"32003"	31	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Bernalillo County, NM"	"35001"	17	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Bronx County, NY"	"36005"	15	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Kings County, NY"	"36047"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"New York County, NY"	"36061"	10	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Queens County, NY"	"36081"	11	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Suffolk County, NY"	"36103"	23	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Cuyahoga County, OH"	"39035"	14	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Franklin County, OH"	"39049"	20	Not Applicable	Not Applicable
	"2007"	"2007"	"Feb., 2007"	"2007/02"	"Hamilton County, OH"	"39061"	14	Not Applicable	Not Applicable
