"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Maricopa County, AZ"	"04013"	54	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Pima County, AZ"	"04019"	19	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Contra Costa County, CA"	"06013"	13	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Kern County, CA"	"06029"	16	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Los Angeles County, CA"	"06037"	62	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Orange County, CA"	"06059"	33	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Riverside County, CA"	"06065"	29	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Sacramento County, CA"	"06067"	27	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"San Bernardino County, CA"	"06071"	10	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"San Diego County, CA"	"06073"	27	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"San Francisco County, CA"	"06075"	15	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Santa Clara County, CA"	"06085"	10	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Adams County, CO"	"08001"	13	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Denver County, CO"	"08031"	10	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Hartford County, CT"	"09003"	13	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"New Castle County, DE"	"10003"	11	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Brevard County, FL"	"12009"	14	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Broward County, FL"	"12011"	23	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Duval County, FL"	"12031"	17	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Hillsborough County, FL"	"12057"	15	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Manatee County, FL"	"12081"	10	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Miami-Dade County, FL"	"12086"	18	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Orange County, FL"	"12095"	11	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Pasco County, FL"	"12101"	13	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Pinellas County, FL"	"12103"	27	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Sarasota County, FL"	"12115"	11	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Fulton County, GA"	"13121"	13	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Cook County, IL"	"17031"	55	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Will County, IL"	"17197"	11	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Marion County, IN"	"18097"	18	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Jefferson County, KY"	"21111"	18	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Baltimore County, MD"	"24005"	10	Not Applicable	Not Applicable
	"2012"	"2012"	"Jan., 2012"	"2012/01"	"Prince George's County, MD"	"24033"	10	Not Applicable	Not Applicable
