County_Code,Deaths,Population,State,County_nm
01001,-1,54571,AL,Autauga
01003,26,182265,AL,Baldwin
01005,-1,27457,AL,Barbour
01007,-1,22915,AL,Bibb
01009,10,57322,AL,Blount
01011,-1,10914,AL,Bullock
01013,-1,20947,AL,Butler
01015,21,118572,AL,Calhoun
01017,-1,34215,AL,Chambers
01019,-1,25989,AL,Cherokee
01021,11,43643,AL,Chilton
01023,-1,13859,AL,Choctaw
01025,-1,25833,AL,Clarke
01027,-1,13932,AL,Clay
01029,-1,14972,AL,Cleburne
01031,-1,49948,AL,Coffee
01033,-1,54428,AL,Colbert
01035,-1,13228,AL,Conecuh
01037,-1,11539,AL,Coosa
01039,-1,37765,AL,Covington
01041,-1,13906,AL,Crenshaw
01043,-1,80406,AL,Cullman
01045,-1,50251,AL,Dale
01047,-1,43820,AL,Dallas
01049,-1,71109,AL,DeKalb
01051,-1,79303,AL,Elmore
01053,10,38319,AL,Escambia
01055,12,104430,AL,Etowah
01057,-1,17241,AL,Fayette
01059,-1,31704,AL,Franklin
01061,-1,26790,AL,Geneva
01063,-1,9045,AL,Greene
01065,-1,15760,AL,Hale
01067,-1,17302,AL,Henry
01069,13,101547,AL,Houston
01071,-1,53227,AL,Jackson
01073,60,658466,AL,Jefferson
01075,-1,14564,AL,Lamar
01077,11,92709,AL,Lauderdale
01079,-1,34339,AL,Lawrence
01081,-1,140247,AL,Lee
01083,14,82782,AL,Limestone
01085,-1,11299,AL,Lowndes
01087,-1,21452,AL,Macon
01089,35,334811,AL,Madison
01091,-1,21027,AL,Marengo
01093,-1,30776,AL,Marion
01095,-1,93019,AL,Marshall
01097,45,412992,AL,Mobile
01099,-1,23068,AL,Monroe
01101,18,229363,AL,Montgomery
01103,18,119490,AL,Morgan
01105,-1,10591,AL,Perry
01107,-1,19746,AL,Pickens
01109,-1,32899,AL,Pike
01111,-1,22913,AL,Randolph
01113,-1,52947,AL,Russell
01115,15,83593,AL,St. Clair
01117,26,195085,AL,Shelby
01119,-1,13763,AL,Sumter
01121,-1,82291,AL,Talladega
01123,-1,41616,AL,Tallapoosa
01125,27,194656,AL,Tuscaloosa
01127,34,67023,AL,Walker
01129,-1,17581,AL,Washington
01131,-1,11670,AL,Wilcox
01133,-1,24484,AL,Winston
02013,-1,3141,AK,Aleutians East 
02016,-1,5561,AK,Aleutians West Cens
02020,38,291826,AK,Anchorage 
02050,-1,17013,AK,Bethel Cens
02060,-1,997,AK,Bristol Bay 
02068,-1,1826,AK,Denali 
02070,-1,4847,AK,Dillingham Cens
02090,10,97581,AK,Fairbanks North Star 
02100,-1,2508,AK,Haines 
02105,Missing,Missing,AK,Hoonah-Angoon Cens
02110,-1,31275,AK,Juneau 
02122,-1,55400,AK,Kenai Peninsula 
02130,-1,13477,AK,Ketchikan Gateway 
02150,-1,13592,AK,Kodiak Island 
02164,-1,1631,AK,Lake and Peninsula 
02170,10,88995,AK,Matanuska-Susitna 
02180,-1,9492,AK,Nome Cens
02185,-1,9430,AK,North Slope 
02188,-1,7523,AK,Northwest Arctic 
02195,Missing,Missing,AK,Petersburg Borough/Cens
02198,Missing,Missing,AK,Prince of Wales-Hyder Cens
02201,-1,5559,AK,Prince of Wales-Outer Ketchikan Cens
02220,-1,8881,AK,Sitka 
02230,Missing,Missing,AK,Skagway Munic
02232,-1,3118,AK,Skagway-Hoonah-Angoon Cens
02240,-1,7029,AK,Southeast Fairbanks Cens
02261,-1,9636,AK,Valdez-Cordova Cens
02270,-1,7459,AK,Wade Hampton Cens
02275,Missing,Missing,AK,Wrangell City and 
02280,-1,6184,AK,Wrangell-Petersburg Cens
02282,-1,662,AK,Yakutat 
02290,-1,5588,AK,Yukon-Koyukuk Cens
04001,-1,71518,AZ,Apache
04003,24,131346,AZ,Cochise
