County_cd,Deaths,State,County_nm,Year,Month
04013,49,AZ,Maricopa,2011,01
04019,14,AZ,Pima,2011,01
06001,20,CA,Alameda,2011,01
06007,11,CA,Butte,2011,01
06013,10,CA,Contra Costa,2011,01
06029,17,CA,Kern,2011,01
06037,57,CA,Los Angeles,2011,01
06059,33,CA,Orange,2011,01
06065,23,CA,Riverside,2011,01
06067,17,CA,Sacramento,2011,01
06071,10,CA,San Bernardino,2011,01
06073,41,CA,San Diego,2011,01
06075,25,CA,San Francisco,2011,01
06077,14,CA,San Joaquin,2011,01
08031,11,CO,Denver,2011,01
09009,12,CT,New Haven,2011,01
12009,10,FL,Brevard,2011,01
12011,24,FL,Broward,2011,01
12057,17,FL,Hillsborough,2011,01
12081,13,FL,Manatee,2011,01
12086,11,FL,Miami-Dade,2011,01
12095,11,FL,Orange,2011,01
12099,16,FL,Palm Beach,2011,01
12101,11,FL,Pasco,2011,01
12103,24,FL,Pinellas,2011,01
12115,13,FL,Sarasota,2011,01
13121,10,GA,Fulton,2011,01
15003,11,HI,Honolulu,2011,01
17031,39,IL,Cook,2011,01
17197,10,IL,Will,2011,01
21111,15,KY,Jefferson,2011,01
22051,12,LA,Jefferson,2011,01
24003,11,MD,Anne Arundel,2011,01
24005,13,MD,Baltimore,2011,01
24510,13,MD,Baltimo,2011,01
25017,10,MA,Middlesex,2011,01
25027,11,MA,Worcester,2011,01
26099,16,MI,Macomb,2011,01
26163,23,MI,Wayne,2011,01
29510,11,MO,St. Lou,2011,01
32003,31,NV,Clark,2011,01
32031,15,NV,Washoe,2011,01
33015,10,NH,Rockingham,2011,01
34007,12,NJ,Camden,2011,01
34025,11,NJ,Monmouth,2011,01
35001,17,NM,Bernalillo,2011,01
36005,13,NY,Bronx,2011,01
36047,17,NY,Kings,2011,01
36059,11,NY,Nassau,2011,01
36061,11,NY,New York,2011,01
36081,15,NY,Queens,2011,01
36103,30,NY,Suffolk,2011,01
39035,23,OH,Cuyahoga,2011,01
39049,18,OH,Franklin,2011,01
39061,10,OH,Hamilton,2011,01
40109,13,OK,Oklahoma,2011,01
42003,20,PA,Allegheny,2011,01
42017,11,PA,Bucks,2011,01
42045,16,PA,Delaware,2011,01
42101,23,PA,Philadelphia,2011,01
44007,10,RI,Providence,2011,01
47037,13,TN,Davidson,2011,01
48029,29,TX,Bexar,2011,01
48113,28,TX,Dallas,2011,01
48201,29,TX,Harris,2011,01
48439,12,TX,Tarrant,2011,01
48453,15,TX,Travis,2011,01
49035,27,UT,Salt Lake,2011,01
53033,25,WA,King,2011,01
53053,13,WA,Pierce,2011,01
53061,15,WA,Snohomish,2011,01
55079,14,WI,Milwaukee,2011,01
04013,59,AZ,Maricopa,2011,02
04019,11,AZ,Pima,2011,02
06001,10,CA,Alameda,2011,02
06019,10,CA,Fresno,2011,02
06037,41,CA,Los Angeles,2011,02
06059,26,CA,Orange,2011,02
06065,11,CA,Riverside,2011,02
06067,19,CA,Sacramento,2011,02
06071,11,CA,San Bernardino,2011,02
06073,35,CA,San Diego,2011,02
06075,11,CA,San Francisco,2011,02
06077,10,CA,San Joaquin,2011,02
06085,12,CA,Santa Clara,2011,02
06099,11,CA,Stanislaus,2011,02
08005,10,CO,Arapahoe,2011,02
08031,14,CO,Denver,2011,02
09003,10,CT,Hartford,2011,02
09009,14,CT,New Haven,2011,02
11001,12,DC,District of C,2011,02
12009,12,FL,Brevard,2011,02
12011,24,FL,Broward,2011,02
12031,11,FL,Duval,2011,02
12057,25,FL,Hillsborough,2011,02
12086,13,FL,Miami-Dade,2011,02
12095,13,FL,Orange,2011,02
12099,20,FL,Palm Beach,2011,02
12101,12,FL,Pasco,2011,02
12103,18,FL,Pinellas,2011,02
12105,13,FL,Polk,2011,02
12115,12,FL,Sarasota,2011,02
12117,12,FL,Seminole,2011,02
17031,40,IL,Cook,2011,02
18097,15,IN,Marion,2011,02
24033,10,MD,Prince George's,2011,02
24510,10,MD,Baltimo,2011,02
25005,11,MA,Bristol,2011,02
25009,10,MA,Essex,2011,02
25017,11,MA,Middlesex,2011,02
26049,13,MI,Genesee,2011,02
26099,18,MI,Macomb,2011,02
26163,24,MI,Wayne,2011,02
27123,10,MN,Ramsey,2011,02
29189,17,MO,St. Louis,2011,02
32003,35,NV,Clark,2011,02
34007,11,NJ,Camden,2011,02
35001,19,NM,Bernalillo,2011,02
36047,20,NY,Kings,2011,02
36059,10,NY,Nassau,2011,02
36061,13,NY,New York,2011,02
36103,19,NY,Suffolk,2011,02
39035,23,OH,Cuyahoga,2011,02
39049,24,OH,Franklin,2011,02
39061,17,OH,Hamilton,2011,02
39113,11,OH,Montgomery,2011,02
40109,15,OK,Oklahoma,2011,02
41051,13,OR,Multnomah,2011,02
42003,18,PA,Allegheny,2011,02
42017,12,PA,Bucks,2011,02
42091,11,PA,Montgomery,2011,02
42101,41,PA,Philadelphia,2011,02
47157,14,TN,Shelby,2011,02
48029,24,TX,Bexar,2011,02
48113,17,TX,Dallas,2011,02
48201,34,TX,Harris,2011,02
48439,21,TX,Tarrant,2011,02
49035,19,UT,Salt Lake,2011,02
