County_cd,Deaths,Population,State,County_nm,Year
1001,-1,54135,AL,Autauga,2009
1003,32,179406,AL,Baldwin,2009
1005,-1,27657,AL,Barbour,2009
1007,-1,22941,AL,Bibb,2009
1009,11,57341,AL,Blount,2009
1011,-1,10987,AL,Bullock,2009
1013,-1,20867,AL,Butler,2009
1015,15,118363,AL,Calhoun,2009
1017,-1,34384,AL,Chambers,2009
1019,-1,25854,AL,Cherokee,2009
1021,-1,43484,AL,Chilton,2009
1023,-1,13976,AL,Choctaw,2009
1025,-1,26038,AL,Clarke,2009
1027,-1,14006,AL,Clay,2009
1029,-1,14918,AL,Cleburne,2009
1031,-1,49440,AL,Coffee,2009
1033,-1,54426,AL,Colbert,2009
1035,-1,13274,AL,Conecuh,2009
1037,-1,11410,AL,Coosa,2009
1039,-1,37648,AL,Covington,2009
1041,-1,14024,AL,Crenshaw,2009
1043,-1,80351,AL,Cullman,2009
1045,-1,49854,AL,Dale,2009
1047,-1,43759,AL,Dallas,2009
1049,14,70864,AL,DeKalb,2009
1051,-1,78632,AL,Elmore,2009
1053,17,38249,AL,Escambia,2009
1055,15,104239,AL,Etowah,2009
1057,-1,17310,AL,Fayette,2009
1059,-1,31589,AL,Franklin,2009
1061,-1,26653,AL,Geneva,2009
1063,-1,9182,AL,Greene,2009
1065,-1,16025,AL,Hale,2009
1067,-1,17243,AL,Henry,2009
1069,11,100500,AL,Houston,2009
1071,-1,53461,AL,Jackson,2009
1073,95,658441,AL,Jefferson,2009
1075,-1,14689,AL,Lamar,2009
1077,-1,92526,AL,Lauderdale,2009
1079,10,34315,AL,Lawrence,2009
1081,11,138566,AL,Lee,2009
1083,12,81326,AL,Limestone,2009
1085,-1,11486,AL,Lowndes,2009
1087,-1,21190,AL,Macon,2009
1089,31,330856,AL,Madison,2009
1091,-1,21170,AL,Marengo,2009
1093,-1,30646,AL,Marion,2009
1095,-1,92213,AL,Marshall,2009
1097,61,411994,AL,Mobile,2009
1099,-1,23218,AL,Monroe,2009
1101,12,227607,AL,Montgomery,2009
1103,31,118954,AL,Morgan,2009
1105,-1,10690,AL,Perry,2009
1107,-1,19814,AL,Pickens,2009
1109,-1,32560,AL,Pike,2009
1111,-1,22864,AL,Randolph,2009
1113,-1,52162,AL,Russell,2009
1115,12,83009,AL,St. Clair,2009
1117,32,192708,AL,Shelby,2009
1119,-1,13746,AL,Sumter,2009
1121,-1,82674,AL,Talladega,2009
