manufacturer	total_count	percentage
Mallinckrodt	174,276,471	36.3%
Allergan, Inc.	121,740,098	25.3%
Endo Pharmaceuticals, Inc.	80,786,109	16.8%
Purdue Pharma LP	26,933,482	5.6%
Amneal Pharmaceuticals, Inc.	17,195,910	3.6%
Kaiser Foundation Hospitals	9,065,301	1.9%
Teva	7,004,244	1.5%
KVK-Tech, Inc.	5,808,349	1.2%
Cardinal Health	4,011,385	0.8%
AMAG Pharmaceuticals, Inc.	2,939,517	0.6%
null	2,602,039	0.5%
Dispensing Solutions Inc.	2,565,452	0.5%
West-Ward Pharmaceuticals Corp.	2,560,958	0.5%
AbbVie Inc.	2,341,110	0.5%
UCB, Inc.	2,003,839	0.4%
Hawthorn Pharmaceuticals, Inc.	1,999,443	0.4%
McKesson Corporation	1,958,940	0.4%
Sun Pharmaceutical Industries, Inc.	1,882,873	0.4%
Almac Clinical Services LLC	1,706,310	0.4%
Mylan Pharmaceuticals, Inc.	1,440,832	0.3%
Golden State Medical Supply, Inc.	801,479	0.2%
A-S Medication Solutions	664,582	0.1%
Bryant Ranch Prepack	662,523	0.1%
Aphena Pharma Solutions - Tennessee, LLC	632,339	0.1%
Xanodyne Pharmaceuticals, Inc.	573,120	0.1%
Altura Pharmaceuticals, Inc.	441,759	0.1%
PD-Rx Pharmaceuticals, Inc.	431,184	0.1%
CIMA Labs Inc.	385,384	0.1%
Forest Laboratories, Inc.	359,139	0.1%
AAI Pharma	359,100	0.1%
Lake Erie Medical DBA: Quality Care Products LLC	357,718	0.1%
STAT Rx USA LLC	346,181	0.1%
Pfizer Laboratories Div Pfizer Inc	312,115	0.1%
St. Mary's Medical Park Pharmacy	270,501	0.1%
CorePharma, LLC	262,364	0.1%
NuCare Pharmaceuticals, Inc.	257,918	0.1%
Victory Pharma, Inc.	245,965	0.1%
Aidarex Pharmaceuticals LLC	230,916	0.0%
Medsource Pharmaceuticals	166,503	0.0%
Apotex Corp.	149,863	0.0%
Preferred Pharmaceuticals Inc	146,612	0.0%
Rebel Distributors Corp.	146,411	0.0%
Physicians Total Care, Inc	134,228	0.0%
Keltman Pharmaceuticals	113,052	0.0%
Lupin Pharmaceuticals,Inc.	105,537	0.0%
RxChange Co.	94,302	0.0%
RedPharm Drug, Inc	74,101	0.0%
Teamm Pharmaceuticals, Inc.	73,819	0.0%
Alvogen, Inc.	72,469	0.0%
Exeltis USA, Inc.	59,380	0.0%
Major Pharmaceuticals	55,677	0.0%
RPK Pharmaceuticals, Inc	52,000	0.0%
American Health Packaging	48,007	0.0%
RemedyRepack	47,064	0.0%
Apotheca Inc.	43,888	0.0%
Poly Pharmaceuticals, Inc.	41,834	0.0%
Atley Pharmaceuticals, Inc.	33,357	0.0%
Blenheim Pharmacal, Inc.	24,914	0.0%
PharmPak, Inc.	21,608	0.0%
H.J. Harkins Co, Inc.	18,041	0.0%
Brighton Pharmaceuticals, Inc.	16,144	0.0%
WraSer Pharmaceuticals	14,037	0.0%
Centrix Pharmaceutical, Inc.	11,355	0.0%
Kowa Pharmaceuticals America, Inc.	11,236	0.0%
Amarin Technologies SA.	9,064	0.0%
Rx Pak Division of McKesson Corporation	8,712	0.0%
Northwind Pharmaceuticals	8,583	0.0%
Auriga Pharmaceuticals, LLC	6,816	0.0%
Breckenridge Pharmaceutical, Inc.	6,267	0.0%
Pharmaceutical Manufacturing Research Services, Inc.	5,720	0.0%
Prepackage Specialists	5,059	0.0%
Athlon Pharmaceuticals, Inc.	4,970	0.0%
VistaPharm Inc.	2,804	0.0%
Aurolife Pharma LLC	2,695	0.0%
Shionogi Inc.	2,693	0.0%
AvPAK	1,756	0.0%
Vindex Pharmaceuticals, Inc.	1,725	0.0%
Larken Laboratories, Inc	1,507	0.0%
Akrimax Pharmaceuticals, LLC	1,300	0.0%
Watson Pharma, Inc.	1,110	0.0%
ECR Pharmaceuticals Co., Inc.	971	0.0%
Dartmouth Pharmaceuticals, Inc.	970	0.0%
MAGNA Pharmaceuticals, Inc.	698	0.0%
Bristol-Myers Squibb Holding Pharma, LLC	202	0.0%
Coupler Enterprises	200	0.0%
United Research Laboratories, Inc.	4	0.0%
