county_id,2006,2007,2008,2009,2010,2011,2012
02013,3,10,0,0,0,0,0
02016,75,87,68,71,65,193,184
02020,55493,62523,68008,71033,73610,76127,74881
02050,1,0,68,167,132,160,400
02068,5,7,0,0,0,0,10
02090,12493,13160,14690,17090,19651,22165,21670
02100,347,312,326,279,295,284,320
02110,4938,5630,6091,5824,6670,6454,6464
02122,11236,13741,14842,16124,17009,17341,16847
02130,3478,3018,3207,3347,3273,3214,3537
02150,1821,2015,1989,1900,1976,2009,1705
02170,20463,25084,26334,27299,28359,30281,30206
02185,17,6,0,6,11,11,6
02188,160,20,20,0,0,0,0
02195,639,675,600,628,416,334,453
02198,449,592,796,547,526,499,545
02220,933,936,1559,1904,1860,1642,1747
02230,36,0,0,0,0,0,0
02240,302,449,629,645,580,602,574
02261,1190,1450,1707,1954,1907,1628,1696
02275,130,118,134,252,294,213,284
01001,20569,12550,13624,28583,30259,29432,30257
01003,36482,43172,48364,58442,68091,92472,229774
01005,4234,4617,4883,5639,6676,6924,7936
01007,2863,3380,4039,4062,4016,4985,5738
01009,5247,5509,6138,7191,7447,9748,11101
01011,668,752,877,1218,1278,1477,1748
01013,4585,5972,6924,7494,8087,8573,7846
01015,30583,35078,37778,41901,46792,55200,64652
01017,7255,7772,8639,9354,9914,12621,12819
01019,5811,7457,8243,9262,10113,12535,12180
01021,8436,8878,10041,11066,12254,14462,16910
01023,2055,2064,1871,2176,2453,2599,3002
01025,3938,4899,5541,6843,7408,8189,9686
01027,1697,1502,1841,2489,2385,2723,3547
01029,1328,1182,1213,1659,1744,1984,2082
01031,7782,8526,9401,10037,11749,14741,16502
01033,15413,15795,18334,20294,20318,24386,26500
01035,2866,4136,5119,5865,6718,6396,5693
01037,854,1187,1087,1317,1768,1757,1724
01039,8183,8935,9901,11231,13428,13536,13979
01041,1332,1586,1678,1933,2225,2463,2838
01043,16028,19514,20768,22969,25473,28778,30421
01045,5522,6651,7375,9450,10950,11664,11830
01047,5071,6138,7681,7231,6819,6971,8588
01051,10806,13175,14925,16205,16880,21129,24442
01053,9739,10448,9747,9945,12114,11834,12141
01055,26770,31412,34629,37865,40404,49823,55918
01057,2743,2869,2612,2607,2787,3247,4116
01059,8107,10314,12202,12849,13938,14956,15538
01061,4129,3859,4308,5024,5171,6113,6103
01063,203,285,312,270,238,432,507
01065,733,907,1156,1365,1564,2044,2537
01067,1372,1725,1977,2331,2298,2619,3388
01069,21059,25570,26609,31509,38349,39430,38147
01071,10629,12216,11717,15216,15728,17169,20064
01073,135519,144861,158540,174721,189635,240025,250059
01075,1583,1654,2002,2353,2900,3665,3766
01077,15329,17802,19910,22189,24604,28988,30022
01079,4891,5552,7034,8199,8581,9636,11218
01081,10423,12236,12918,14888,14939,16928,18876
01083,9057,9003,9989,11414,12355,15322,18052
01085,176,152,344,389,434,524,548
01087,1744,2027,2186,1618,1746,1763,2536
01089,62360,75925,86464,93399,113238,141126,152613
01091,2167,2389,2943,3627,3511,4193,4925
01093,7890,8764,9944,11710,14899,18769,19835
01095,19261,21092,24746,30207,33615,46245,51143
01097,87962,100894,103480,118232,130629,145473,162210
01099,3308,4006,4444,4902,4732,4960,5331
01101,35229,39945,43679,44544,45837,51314,53742
01103,24910,27985,29767,32777,33192,37985,44157
01105,421,444,536,555,495,675,906
01107,1848,2725,3418,3299,3411,3832,4337
01109,5209,6734,7078,8189,8767,9907,9874
01111,3603,4091,4420,4803,5217,5655,6441
01113,10900,12539,14253,14996,15465,18995,21467
01115,11669,13575,15549,16048,17590,20465,24097
01117,43868,48318,43504,46320,48853,54283,60527
01119,601,662,729,832,955,1158,1436
01121,15528,18466,21492,25521,28270,31080,32506
01123,5225,6006,6506,6936,7676,8014,9661
01125,27171,30515,34954,38187,40751,44731,54740
01127,30824,33912,37905,41731,44904,46809,49671
01129,548,495,570,546,663,645,693
01131,599,822,916,1084,1037,1129,1164
01133,6126,6957,8218,8321,8277,18260,10504
05001,3009,3308,3426,3824,4311,4445,4547
05003,4460,5361,5263,5459,6169,6903,6945
05005,6782,7914,9223,11698,14354,15503,15488
05007,33415,38993,44958,53158,62914,73334,72054
05009,6635,8154,9203,10163,11884,14360,14179
05011,1548,1867,2277,2587,2802,3443,3442
05013,855,1136,1262,1205,1318,1429,1061
05015,5424,7764,8973,10783,12032,12003,11358
05017,1466,1476,1477,1524,2572,2666,2890
05019,3646,4368,4841,5582,7163,7614,6747
05021,2510,2887,4026,4110,4535,4719,4300
05023,5022,7233,7668,7987,9557,9416,8006
05025,121,148,104,0,0,0,0
05027,2948,2727,3527,4090,4525,5367,5292
05029,5654,4983,5622,6258,6358,6738,6982
05031,20087,24349,24881,28823,28265,29594,30189
05033,15941,19298,22772,23934,26525,28455,29225
05035,9746,11012,10664,10906,11515,10592,10924
05037,2133,2607,3021,2868,3055,3974,3415
05039,1096,1063,1215,1538,1603,1769,1656
05041,1889,2299,2555,2643,2801,3361,3620
05043,3446,4525,4707,4817,5245,5776,5843
05045,12368,14214,16845,20969,23190,26688,31566
05047,2376,2871,3564,4271,4909,5164,4919
05049,3647,3770,4160,4712,4274,3172,3015
05051,25308,28474,31016,32829,35835,45434,39448
05053,1866,2308,2806,3518,3862,4226,4311
05055,8243,10857,12999,11001,13096,13588,13019
05057,3883,4464,5354,5902,7024,7115,6900
05059,4151,4744,5405,5894,6779,8523,8028
05061,3736,3715,4221,4652,5199,4773,3498
05063,7713,8702,9261,11240,12187,13252,13243
05065,3078,4137,6006,8226,8367,5553,5974
05067,2071,2706,3302,4388,5293,5181,4831
05069,6214,8023,8850,11557,13230,15274,16611
05071,4930,5287,6468,6995,7264,8020,7724
05073,1384,1513,1240,1052,996,1159,1280
05075,2313,2589,3174,3546,4351,4672,4280
05077,988,1434,1565,1304,1492,1675,1354
05079,1052,1225,1327,1584,1956,2246,2308
05081,2313,2839,3447,4005,4397,5700,4844
05083,3411,4607,5619,6919,6411,6224,6208
05085,8669,11231,13363,15604,19505,19996,19240
05087,1754,2255,2855,2895,3598,4171,4163
05089,3425,3995,4487,5454,5591,5208,4449
05091,7108,8755,11335,10656,14914,15396,15700
05093,7880,8773,9615,11175,11035,11647,12493
05095,851,985,1182,932,1062,1269,1655
05097,738,938,866,876,836,987,1196
05099,724,821,882,1198,1508,1844,1684
05101,292,324,302,340,580,614,587
05103,3368,3804,4232,5586,7072,8126,8846
05105,788,819,1060,1407,1581,1826,1856
05107,4541,4956,5046,4865,6357,6116,5921
05109,1761,2066,2202,2481,2577,2993,3427
05111,4514,5740,6404,7069,7851,7867,7531
05113,6614,6322,6811,6329,6831,8929,7987
05115,9345,9804,11489,13125,14479,16592,17127
05117,628,730,916,1335,1604,1421,1439
05119,72030,83760,88103,103209,115161,131702,140977
05121,2238,2468,2598,2736,3101,3442,3367
05123,2921,2840,4217,3899,4120,5136,5593
05125,17126,18055,21894,25622,26779,27386,27114
05127,3047,3235,3770,4166,4204,3454,3423
05129,1136,1117,1117,1446,1656,1375,1276
05131,40139,50210,57647,63789,72256,81915,73798
05133,3335,3991,4240,5029,5728,6002,6252
05135,4529,4517,3875,4508,5136,5152,5771
05137,2455,2829,3454,3779,4604,4674,4316
05139,7220,8074,8952,10571,11062,11980,10546
05141,2614,2963,3517,3654,4081,4597,4895
05143,29431,33175,38551,43928,51391,60584,60310
05145,9661,12548,14721,17832,21132,21891,22394
05147,1173,1357,1561,1868,2079,2538,2406
05149,3431,3472,4168,4302,4812,5710,5442
04001,2364,3015,3436,4376,4206,3927,3841
04003,25117,28326,33131,34679,38047,39442,40298
04005,16403,19058,21206,20164,21293,24579,25886
04007,14630,16513,16726,18254,21066,25661,27837
04009,8840,10608,13424,15355,15175,16969,17036
04011,327,369,415,472,539,636,623
04012,4744,4966,5030,5281,6162,7243,7356
04013,600017,699686,783873,905298,1003273,1180396,1262821
04015,56849,69350,82091,82803,88658,101642,106907
04017,16098,18071,18850,20305,19606,22036,24292
04019,209182,245499,266533,274578,294503,359106,383290
04021,42042,49427,54156,56336,63447,78153,84679
04023,2671,2912,3207,3620,3898,3823,4637
04025,48479,52204,54799,61062,70410,83745,86636
04027,16644,19430,21503,25281,28739,35186,38787
06001,747195,896569,986761,980326,1081375,1115184,1181836
06003,1,0,20,125,105,20,1
06005,8931,9965,10783,12165,12042,12822,13389
06007,59574,66869,75461,86424,95124,100769,104897
06009,8832,10592,11234,12965,13200,13901,15121
06011,2450,2741,3028,3329,3953,4518,4867
