County_cd,State,County_nm,pills
02016,AK,ALEUTIANS WEST,18800
02020,AK,ANCHORAGE,10069672
02050,AK,BETHEL,480
02068,AK,DENALI,1000
02090,AK,FAIRBANKS NORTH STAR,2935560
02100,AK,HAINES,42730
02110,AK,JUNEAU,941170
02122,AK,KENAI PENINSULA,2752780
02130,AK,KETCHIKAN GATEWAY,649262
02150,AK,KODIAK ISLAND,276500
02170,AK,MATANUSKA SUSITNA,4183360
02185,AK,NORTH SLOPE,600
02195,AK,PETERSBURG,56900
02198,AK,PRINCE OF WALES HYDER,109300
02220,AK,SITKA,283400
02240,AK,SOUTHEAST FAIRBANKS,93400
02261,AK,VALDEZ CORDOVA,284000
02275,AK,WRANGELL,67990
01001,AL,AUTAUGA,3758130
01003,AL,BALDWIN,13273200
01005,AL,BARBOUR,1447300
01007,AL,BIBB,1288190
01009,AL,BLOUNT,2198070
01011,AL,BULLOCK,418790
01013,AL,BUTLER,1408750
01015,AL,CALHOUN,9189580
01017,AL,CHAMBERS,2417300
01019,AL,CHEROKEE,2162920
01021,AL,CHILTON,2722990
01023,AL,CHOCTAW,1108960
01025,AL,CLARKE,1845540
01027,AL,CLAY,891920
01029,AL,CLEBURNE,435960
01031,AL,COFFEE,2827330
01033,AL,COLBERT,5524680
01035,AL,CONECUH,1249160
01037,AL,COOSA,222110
01039,AL,COVINGTON,3145730
01041,AL,CRENSHAW,640320
01043,AL,CULLMAN,6073360
01045,AL,DALE,2277470
01047,AL,DALLAS,1593610
01049,AL,DE KALB,4831860
01051,AL,ELMORE,4766230
01053,AL,ESCAMBIA,2785970
01055,AL,ETOWAH,10142760
01057,AL,FAYETTE,940870
01059,AL,FRANKLIN,3674640
01061,AL,GENEVA,1328750
01063,AL,GREENE,194170
01065,AL,HALE,604440
01067,AL,HENRY,605120
01069,AL,HOUSTON,6368410
01071,AL,JACKSON,4686350
01073,AL,JEFFERSON,43860473
01075,AL,LAMAR,1032060
01077,AL,LAUDERDALE,5939560
01079,AL,LAWRENCE,2136270
01081,AL,LEE,3443230
01083,AL,LIMESTONE,3778230
01085,AL,LOWNDES,229090
01087,AL,MACON,565860
01089,AL,MADISON,23070180
01091,AL,MARENGO,1152180
01093,AL,MARION,4569350
01095,AL,MARSHALL,9872980
01097,AL,MOBILE,28101056
01099,AL,MONROE,1197530
01101,AL,MONTGOMERY,9641500
01103,AL,MORGAN,8764520
01105,AL,PERRY,230330
01107,AL,PICKENS,829520
01109,AL,PIKE,1708930
01111,AL,RANDOLPH,1329990
01113,AL,RUSSELL,3818040
01115,AL,SAINT CLAIR,4177010
01117,AL,SHELBY,10188290
01119,AL,SUMTER,403950
01121,AL,TALLADEGA,6088700
01123,AL,TALLAPOOSA,2046230
01125,AL,TUSCALOOSA,9677950
01127,AL,WALKER,10904550
01129,AL,WASHINGTON,188900
01131,AL,WILCOX,180500
01133,AL,WINSTON,2481351
05001,AR,ARKANSAS,1188620
05003,AR,ASHLEY,1054870
05005,AR,BAXTER,2875390
05007,AR,BENTON,10898480
05009,AR,BOONE,2626690
05011,AR,BRADLEY,511630
05013,AR,CALHOUN,222690
05015,AR,CARROLL,2050390
05017,AR,CHICOT,895032
05019,AR,CLARK,1386260
05021,AR,CLAY,851070
05023,AR,CLEBURNE,1309760
05027,AR,COLUMBIA,1185590
05029,AR,CONWAY,1413030
05031,AR,CRAIGHEAD,5570950
05033,AR,CRAWFORD,4862520
05035,AR,CRITTENDEN,2045660
05037,AR,CROSS,658660
05039,AR,DALLAS,341430
05041,AR,DESHA,716040
05043,AR,DREW,841900
05045,AR,FAULKNER,4752120
05047,AR,FRANKLIN,1205820
05049,AR,FULTON,815310
05051,AR,GARLAND,8182560
05053,AR,GRANT,864160
05055,AR,GREENE,2855420
05057,AR,HEMPSTEAD,1404150
05059,AR,HOT SPRING,1517970
05061,AR,HOWARD,874560
05063,AR,INDEPENDENCE,2910180
05065,AR,IZARD,1244400
05067,AR,JACKSON,995210
05069,AR,JEFFERSON,2703600
05071,AR,JOHNSON,1636630
05073,AR,LAFAYETTE,270270
05075,AR,LAWRENCE,1032000
05077,AR,LEE,259800
05079,AR,LINCOLN,272070
05081,AR,LITTLE RIVER,780440
05083,AR,LOGAN,1298500
05085,AR,LONOKE,3085030
05087,AR,MADISON,782800
05089,AR,MARION,873840
05091,AR,MILLER,3011920
05093,AR,MISSISSIPPI,2647070
05095,AR,MONROE,275390
05097,AR,MONTGOMERY,339520
05099,AR,NEVADA,375210
05101,AR,NEWTON,184030
05103,AR,OUACHITA,1745070
05105,AR,PERRY,491230
05107,AR,PHILLIPS,1517540
05109,AR,PIKE,1165090
05111,AR,POINSETT,1660650
05113,AR,POLK,1318460
05115,AR,POPE,3077160
05117,AR,PRAIRIE,229500
05119,AR,PULASKI,20575112
05121,AR,RANDOLPH,700160
05123,AR,SAINT FRANCIS,939320
05125,AR,SALINE,5137860
05127,AR,SCOTT,661350
05129,AR,SEARCY,370900
05131,AR,SEBASTIAN,11264880
05133,AR,SEVIER,1007640
05135,AR,SHARP,996380
05137,AR,STONE,851330
05139,AR,UNION,2263060
05141,AR,VAN BUREN,900670
05143,AR,WASHINGTON,9689300
05145,AR,WHITE,3748060
05147,AR,WOODRUFF,475200
05149,AR,YELL,1185200
04001,AZ,APACHE,760850
04003,AZ,COCHISE,5945590
04005,AZ,COCONINO,3859170
04007,AZ,GILA,3940470
04009,AZ,GRAHAM,2468180
04011,AZ,GREENLEE,110700
04012,AZ,LA PAZ,1071960
04013,AZ,MARICOPA,180945892
04015,AZ,MOHAVE,17448010
04017,AZ,NAVAJO,4014010
04019,AZ,PIMA,50243276
04021,AZ,PINAL,12603330
04023,AZ,SANTA CRUZ,783570
04025,AZ,YAVAPAI,12335370
04027,AZ,YUMA,6215820
06001,CA,ALAMEDA,92198120
06003,CA,ALPINE,100
06005,CA,AMADOR,3087350
06007,CA,BUTTE,20950050
06009,CA,CALAVERAS,2949110
06011,CA,COLUSA,941050
06013,CA,CONTRA COSTA,37673180
06015,CA,DEL NORTE,2690800
06017,CA,EL DORADO,8832344
06019,CA,FRESNO,37033070
06021,CA,GLENN,1697520
06023,CA,HUMBOLDT,11170560
06025,CA,IMPERIAL,4368680
06027,CA,INYO,888340
06029,CA,KERN,33899230
06031,CA,KINGS,6438380
06033,CA,LAKE,7069780
06035,CA,LASSEN,3055850
06037,CA,LOS ANGELES,215372589.0
06039,CA,MADERA,4998940
06041,CA,MARIN,8107428
06043,CA,MARIPOSA,725770
06045,CA,MENDOCINO,6041570
06047,CA,MERCED,10543250
06049,CA,MODOC,793190
06051,CA,MONO,283610
06053,CA,MONTEREY,13480880
06055,CA,NAPA,5174290
06057,CA,NEVADA,5697450
06059,CA,ORANGE,81147553.5
06061,CA,PLACER,20499280
06063,CA,PLUMAS,1861310
06065,CA,RIVERSIDE,80636080
06067,CA,SACRAMENTO,66268476
06069,CA,SAN BENITO,1666860
06071,CA,SAN BERNARDINO,73805280
06073,CA,SAN DIEGO,97921656
06075,CA,SAN FRANCISCO,19269740
06077,CA,SAN JOAQUIN,32176470
06079,CA,SAN LUIS OBISPO,13066550
06081,CA,SAN MATEO,17642230
06083,CA,SANTA BARBARA,15019970
06085,CA,SANTA CLARA,32560580
06087,CA,SANTA CRUZ,10409120
06089,CA,SHASTA,19581930
06091,CA,SIERRA,94000
06093,CA,SISKIYOU,3601380
06095,CA,SOLANO,18673250
06097,CA,SONOMA,21289676
06099,CA,STANISLAUS,36658276
06101,CA,SUTTER,7760310
06103,CA,TEHAMA,5224600
06105,CA,TRINITY,1145810
06107,CA,TULARE,20324530
06109,CA,TUOLUMNE,5338240
06111,CA,VENTURA,25780932
06113,CA,YOLO,6918060
06115,CA,YUBA,5265450
08001,CO,ADAMS,13644174
08003,CO,ALAMOSA,1815260
08005,CO,ARAPAHOE,16559485
08007,CO,ARCHULETA,268000
08009,CO,BACA,81900
08011,CO,BENT,232500
08013,CO,BOULDER,8129780
08014,CO,BROOMFIELD,3589760
08015,CO,CHAFFEE,976110
08017,CO,CHEYENNE,52030
