County_cd,State_nm,County_nm,2006,2007,2008,2009,2010,2011,2012
01001,Alabama,Autauga,42.0,49.0,53.0,58.0,58.0,64.0,68.0
01003,Alabama,Baldwin,38.0,44.0,49.0,54.0,60.0,65.0,70.0
01005,Alabama,Barbour,30.0,34.0,36.0,40.0,46.0,51.0,53.0
01007,Alabama,Bibb,34.0,39.0,47.0,44.0,49.0,57.0,57.0
01009,Alabama,Blount,23.0,25.0,26.0,29.0,31.0,36.0,38.0
01011,Alabama,Bullock,10.0,13.0,17.0,25.0,32.0,39.0,39.0
01013,Alabama,Butler,32.0,40.0,47.0,51.0,55.0,69.0,68.0
01015,Alabama,Calhoun,47.0,54.0,56.0,61.0,63.0,72.0,78.0
01017,Alabama,Chambers,41.0,43.0,51.0,54.0,60.0,73.0,71.0
01019,Alabama,Cherokee,47.0,58.0,62.0,70.0,72.0,79.0,83.0
01021,Alabama,Chilton,36.0,41.0,44.0,47.0,48.0,56.0,62.0
01023,Alabama,Choctaw,38.0,44.0,47.0,48.0,55.0,68.0,82.0
01025,Alabama,Clarke,29.0,38.0,40.0,45.0,53.0,64.0,73.0
01027,Alabama,Clay,31.0,39.0,47.0,48.0,44.0,57.0,66.0
01029,Alabama,Cleburne,18.0,19.0,19.0,23.0,23.0,26.0,29.0
01031,Alabama,Coffee,37.0,38.0,43.0,44.0,50.0,56.0,55.0
01033,Alabama,Colbert,69.0,74.0,82.0,85.0,87.0,97.0,101.0
01035,Alabama,Conecuh,41.0,53.0,61.0,69.0,73.0,81.0,96.0
01037,Alabama,Coosa,10.0,14.0,14.0,16.0,19.0,19.0,20.0
01039,Alabama,Covington,50.0,58.0,62.0,66.0,78.0,81.0,83.0
01041,Alabama,Crenshaw,23.0,28.0,32.0,36.0,39.0,41.0,46.0
01043,Alabama,Cullman,46.0,53.0,57.0,60.0,66.0,75.0,76.0
01045,Alabama,Dale,25.0,27.0,30.0,36.0,44.0,47.0,45.0
01047,Alabama,Dallas,23.0,31.0,38.0,34.0,31.0,34.0,37.0
01049,Alabama,DeKalb,33.0,38.0,43.0,47.0,53.0,61.0,68.0
01051,Alabama,Elmore,26.0,32.0,37.0,41.0,43.0,53.0,59.0
01053,Alabama,Escambia,42.0,44.0,52.0,57.0,73.0,74.0,73.0
01055,Alabama,Etowah,55.0,60.0,70.0,75.0,80.0,91.0,97.0
01057,Alabama,Fayette,29.0,33.0,38.0,38.0,41.0,49.0,55.0
01059,Alabama,Franklin,66.0,75.0,84.0,85.0,93.0,110.0,116.0
