County_cd,State_nm,County_nm,avgerage_pills
01001,Alabama,Autauga,56.0
01003,Alabama,Baldwin,54.0
01005,Alabama,Barbour,41.0
01007,Alabama,Bibb,47.0
01009,Alabama,Blount,30.0
01011,Alabama,Bullock,25.0
01013,Alabama,Butler,52.0
01015,Alabama,Calhoun,62.0
01017,Alabama,Chambers,56.0
01019,Alabama,Cherokee,67.0
01021,Alabama,Chilton,48.0
01023,Alabama,Choctaw,55.0
01025,Alabama,Clarke,49.0
01027,Alabama,Clay,47.0
01029,Alabama,Cleburne,22.0
01031,Alabama,Coffee,46.0
01033,Alabama,Colbert,85.0
01035,Alabama,Conecuh,68.0
01037,Alabama,Coosa,16.0
01039,Alabama,Covington,68.0
01041,Alabama,Crenshaw,35.0
01043,Alabama,Cullman,62.0
01045,Alabama,Dale,36.0
01047,Alabama,Dallas,33.0
01049,Alabama,DeKalb,49.0
01051,Alabama,Elmore,42.0
01053,Alabama,Escambia,59.0
01055,Alabama,Etowah,75.0
01057,Alabama,Fayette,40.0
01059,Alabama,Franklin,90.0
01061,Alabama,Geneva,42.0
01063,Alabama,Greene,14.0
01065,Alabama,Hale,28.0
01067,Alabama,Henry,27.0
01069,Alabama,Houston,53.0
01071,Alabama,Jackson,75.0
01073,Alabama,Jefferson,53.0
01075,Alabama,Lamar,53.0
01077,Alabama,Lauderdale,52.0
01079,Alabama,Lawrence,48.0
01081,Alabama,Lee,19.0
01083,Alabama,Limestone,37.0
01085,Alabama,Lowndes,13.0
01087,Alabama,Macon,19.0
01089,Alabama,Madison,53.0
01091,Alabama,Marengo,40.0
01093,Alabama,Marion,108.0
01095,Alabama,Marshall,76.0
01097,Alabama,Mobile,52.0
01099,Alabama,Monroe,39.0
01101,Alabama,Montgomery,35.0
01103,Alabama,Morgan,61.0
01105,Alabama,Perry,17.0
01107,Alabama,Pickens,29.0
01109,Alabama,Pike,40.0
01111,Alabama,Randolph,43.0
01113,Alabama,Russell,53.0
01115,Alabama,St. Clair,38.0
