distributor	total_dosage	percent_dosage	total_gms	percent_gms
McKesson Corporation	14.1 billion	18.41%	121.3 million	19.94%
Walgreen Co	12.6 billion	16.49%	90.8 million	14.92%
Cardinal Health	10.7 billion	13.98%	101.9 million	16.75%
AmerisourceBergen Drug	9.0 billion	11.68%	74.1 million	12.17%
CVS	5.9 billion	7.71%	26.4 million	4.34%
Wal-Mart	5.3 billion	6.86%	29.0 million	4.77%
Smith Drug Company	1.3 billion	1.76%	12.1 million	1.99%
Rite Aid	1.3 billion	1.72%	5.6 million	0.93%
Kroger	1.2 billion	1.61%	5.6 million	0.91%
H. D. Smith	1.1 billion	1.49%	13.4 million	2.20%
"Anda, Inc"	1.1 billion	1.48%	10.0 million	1.64%
Kaiser Permanente	878.7 million	1.15%	3.7 million	0.60%
Morris & Dickson Co	875.6 million	1.14%	6.5 million	1.07%
Thrifty Payless Inc	869.2 million	1.13%	3.8 million	0.62%
Eckerd Corporation	776.4 million	1.01%	4.0 million	0.65%
Omnicare Distribution Center LLC	701.9 million	0.92%	3.4 million	0.55%
Kinray Inc	634.8 million	0.83%	7.4 million	1.22%
N C Mutual Wholesale Drug Co	553.6 million	0.72%	4.5 million	0.74%
Smith's Food & Drug Ctr's Inc	501.0 million	0.65%	2.2 million	0.36%
The Harvard Drug Group	406.7 million	0.53%	2.6 million	0.43%
Advantage Logistics	375.8 million	0.49%	2.8 million	0.46%
Value Drug Co	309.0 million	0.40%	3.0 million	0.49%
"Publix Super Markets, Inc."	278.2 million	0.36%	1.3 million	0.21%
River City Pharma	269.1 million	0.35%	3.8 million	0.63%
SAJ Distributors	265.0 million	0.35%	1.3 million	0.22%
"HEB Grocery Company, LP"	243.9 million	0.32%	1.2 million	0.19%
Harco	208.4 million	0.27%	1.0 million	0.17%
Valley Wholesale Drug Co	207.1 million	0.27%	1.5 million	0.25%
Associated Pharmacies Inc	189.7 million	0.25%	1.1 million	0.18%
Louisiana Wholesale Drug Co	187.9 million	0.25%	1.7 million	0.27%
Qualitest Pharmaceuticals	177.3 million	0.23%	"834,008.60"	0.14%
Frank W Kerr Inc	170.6 million	0.22%	1.2 million	0.20%
KeySource Medical	164.8 million	0.22%	2.1 million	0.35%
"Top Rx, Inc."	162.6 million	0.21%	1.0 million	0.16%
American Drug Stores	154.4 million	0.20%	"654,521.60"	0.11%
American Sales Company	135.1 million	0.18%	"577,967.70"	0.09%
Longs Drug Store	127.7 million	0.17%	"599,006.40"	0.10%
Quest Pharmaceuticals Inc	122.1 million	0.16%	"711,117.70"	0.12%
Miami-Luken	115.5 million	0.15%	"977,995.00"	0.16%
Hy-Vee	113.4 million	0.15%	"424,339.70"	0.07%
Pharmacy Buying Association	110.1 million	0.14%	"715,580.50"	0.12%
Mc Queary Brothers	104.3 million	0.14%	"758,975.50"	0.12%
Meijer Distribution Inc #90	101.6 million	0.13%	"423,889.90"	0.07%
Rochester Drug Co-Operative Inc	101.5 million	0.13%	"745,559.90"	0.12%
HBC Service Company	92.7 million	0.12%	"365,477.10"	0.06%
"Par Pharmaceutical, Inc."	85.0 million	0.11%	"393,330.00"	0.06%
Dakota Drug	78.9 million	0.10%	"527,510.30"	0.09%
Dik Drug Co	78.5 million	0.10%	"466,424.10"	0.08%
"KPH Healthcare Services, Inc."	75.5 million	0.10%	"330,039.40"	0.05%
Albertsons LLC	73.8 million	0.10%	"340,997.80"	0.06%
Aphena Pharma Solutions	70.6 million	0.09%	"300,093.70"	0.05%
"Sunrise Wholesale, Inc"	65.9 million	0.09%	1.5 million	0.25%
P J C Distributor Co Inc	65.0 million	0.08%	"431,668.40"	0.07%
Wakefern Food Corporation	64.9 million	0.08%	"281,659.70"	0.05%
Auburn Pharmaceutical	61.9 million	0.08%	"409,337.50"	0.07%
Winn Dixie Logistics	57.5 million	0.08%	"291,178.80"	0.05%
Southwood Pharmaceuticals Inc	57.2 million	0.07%	"320,712.60"	0.05%
Discount Drug Mart	53.6 million	0.07%	"195,915.60"	0.03%
Dispensing Solutions	51.6 million	0.07%	"448,629.60"	0.07%
Prescription Supply Inc	51.5 million	0.07%	"496,918.80"	0.08%
Murfreesboro Pharmaceutical	47.2 million	0.06%	"234,621.10"	0.04%
Burlington Drug Company	46.4 million	0.06%	"434,920.10"	0.07%
NuCare Pharmaceuticals	45.1 million	0.06%	"980,980.70"	0.16%
"DRx Pharmaceutical Consultants, Inc."	40.0 million	0.05%	"185,799.50"	0.03%
Bellco Drug Corp	38.7 million	0.05%	"326,680.70"	0.05%
Bryant Ranch Prepack	36.7 million	0.05%	"195,917.70"	0.03%
Schnucks Pharmacy Distribution Ctr	36.6 million	0.05%	"151,415.90"	0.02%
Drogueria Betances	36.1 million	0.05%	"181,344.30"	0.03%
Bloodworth Wholesale Drugs	35.8 million	0.05%	"183,744.90"	0.03%
Expert-Med	35.2 million	0.05%	"239,461.90"	0.04%
Henry Schein Inc	34.4 million	0.04%	"179,624.10"	0.03%
"Actavis Pharma, Inc."	32.3 million	0.04%	"141,095.30"	0.02%
Heartland Repack Services	32.3 million	0.04%	"116,810.60"	0.02%
D & K Healthcare Resources	26.4 million	0.03%	"211,753.30"	0.03%
White Drug 61	26.1 million	0.03%	"107,966.40"	0.02%
PD-Rx Pharmaceuticals Inc	25.9 million	0.03%	"216,579.00"	0.04%
"Cedardale Distributors LLC, DBA Gen-Source RX"	25.5 million	0.03%	"208,717.70"	0.03%
"Altura Pharmaceuticals, Inc"	24.2 million	0.03%	"126,757.80"	0.02%
Richie Pharmacal	24.2 million	0.03%	"129,749.10"	0.02%
Stat Rx USA LLC	22.8 million	0.03%	"166,751.30"	0.03%
Paragon Enterprises Inc	21.7 million	0.03%	"545,526.70"	0.09%
Dixon-Shane LLC	21.5 million	0.03%	"200,061.60"	0.03%
Dohmen Distribution Partners	21.5 million	0.03%	"173,493.40"	0.03%
Mallinckrodt LLC	20.9 million	0.03%	"124,337.70"	0.02%
"Allscripts, LLC"	20.1 million	0.03%	"102,512.50"	0.02%
Lake Erie Medical	19.7 million	0.03%	"133,975.50"	0.02%
King Drug Company of Florence	17.6 million	0.02%	"143,035.30"	0.02%
Aidarex Pharmaceuticals LLC	15.6 million	0.02%	"84,167.90"	0.01%
DIT Healthcare Distributio	14.2 million	0.02%	"83,710.00"	0.01%
"QK Healthcare, Inc."	13.1 million	0.02%	"221,987.30"	0.04%
Moore Medical LLC	12.7 million	0.02%	"65,286.50"	0.01%
