county_id,state,county,2006
01001,AL,Autauga,8.0
01003,AL,Baldwin,15.0
01005,AL,Barbour,1.0
01007,AL,Bibb,19.0
01009,AL,Blount,18.0
01011,AL,Bullock,1.0
01013,AL,Butler,9.0
01015,AL,Calhoun,12.0
01017,AL,Chambers,10.0
01019,AL,Cherokee,17.0
01021,AL,Chilton,19.0
01023,AL,Choctaw,1.0
01025,AL,Clarke,1.0
01027,AL,Clay,1.0
01029,AL,Cleburne,11.0
01031,AL,Coffee,6.0
01033,AL,Colbert,5.0
01035,AL,Conecuh,1.0
01037,AL,Coosa,1.0
01039,AL,Covington,5.0
01041,AL,Crenshaw,1.0
01043,AL,Cullman,10.0
01045,AL,Dale,8.0
01047,AL,Dallas,5.0
01049,AL,DeKalb,16.0
01051,AL,Elmore,7.0
01053,AL,Escambia,26.0
01055,AL,Etowah,13.0
01057,AL,Fayette,17.0
01059,AL,Franklin,18.0
01061,AL,Geneva,7.0
01063,AL,Greene,2.0
01065,AL,Hale,1.0
01067,AL,Henry,9.0
01069,AL,Houston,11.0
01071,AL,Jackson,12.0
01073,AL,Jefferson,12.0
01075,AL,Lamar,11.0
01077,AL,Lauderdale,12.0
01079,AL,Lawrence,16.0
01081,AL,Lee,6.0
01083,AL,Limestone,12.0
01085,AL,Lowndes,1.0
01087,AL,Macon,1.0
01089,AL,Madison,7.0
01091,AL,Marengo,1.0
01093,AL,Marion,0.0
01095,AL,Marshall,10.0
01097,AL,Mobile,13.0
01099,AL,Monroe,7.0
01101,AL,Montgomery,6.0
01103,AL,Morgan,17.0
01105,AL,Perry,1.0
01107,AL,Pickens,9.0
01109,AL,Pike,8.0
01111,AL,Randolph,11.0
01113,AL,Russell,13.0
01115,AL,St. Clair,15.0
01117,AL,Shelby,16.0
01119,AL,Sumter,1.0
01121,AL,Talladega,10.0
01123,AL,Tallapoosa,7.0
01125,AL,Tuscaloosa,15.0
01127,AL,Walker,41.0
01129,AL,Washington,1.0
01131,AL,Wilcox,1.0
01133,AL,Winston,10.0
02013,AK,Aleutians East ,5.0
02016,AK,Aleutians West Cens,3.0
02020,AK,Anchorage ,17.0
02050,AK,Bethel Cens,1.0
02060,AK,Bristol Bay ,14.0
02068,AK,Denali ,8.0
02070,AK,Dillingham Cens,3.0
02090,AK,Fairbanks North Star ,12.0
02100,AK,Haines ,6.0
02105,AK,Hoonah-Angoon Cens,-100000.0
02110,AK,Juneau ,16.0
02122,AK,Kenai Peninsula ,16.0
02130,AK,Ketchikan Gateway ,13.0
02150,AK,Kodiak Island ,11.0
02164,AK,Lake and Peninsula ,9.0
02170,AK,Matanuska-Susitna ,19.0
02180,AK,Nome Cens,2.0
02185,AK,North Slope ,2.0
02188,AK,Northwest Arctic ,2.0
02195,AK,Petersburg Borough/Cens,-100000.0
02198,AK,Prince of Wales-Hyder Cens,-100000.0
02201,AK,Prince of Wales-Outer Ketchikan Cens,2.0
02220,AK,Sitka ,2.0
02230,AK,Skagway Munic,-100000.0
02232,AK,Skagway-Hoonah-Angoon Cens,5.0
02240,AK,Southeast Fairbanks Cens,2.0
02261,AK,Valdez-Cordova Cens,1.0
02270,AK,Wade Hampton Cens,2.0
02275,AK,Wrangell City and ,-100000.0
02280,AK,Wrangell-Petersburg Cens,2.0
02282,AK,Yakutat ,22.0
02290,AK,Yukon-Koyukuk Cens,3.0
04001,AZ,Apache,7.0
04003,AZ,Cochise,14.0
04005,AZ,Coconino,11.0
04007,AZ,Gila,19.0
04009,AZ,Graham,17.0
04011,AZ,Greenlee,2.0
04012,AZ,La Paz,16.0
04013,AZ,Maricopa,15.0
04015,AZ,Mohave,23.0
04017,AZ,Navajo,15.0
04019,AZ,Pima,19.0
04021,AZ,Pinal,12.0
04023,AZ,Santa Cruz,6.0
04025,AZ,Yavapai,21.0
04027,AZ,Yuma,11.0
05001,AR,Arkansas,1.0
05003,AR,Ashley,12.0
05005,AR,Baxter,13.0
05007,AR,Benton,12.0
05009,AR,Boone,16.0
05011,AR,Bradley,1.0
05013,AR,Calhoun,3.0
05015,AR,Carroll,21.0
05017,AR,Chicot,1.0
05019,AR,Clark,6.0
05021,AR,Clay,1.0
05023,AR,Cleburne,12.0
05025,AR,Cleveland,2.0
05027,AR,Columbia,6.0
05029,AR,Conway,19.0
05031,AR,Craighead,14.0
05033,AR,Crawford,22.0
05035,AR,Crittenden,8.0
05037,AR,Cross,10.0
05039,AR,Dallas,2.0
05041,AR,Desha,1.0
05043,AR,Drew,10.0
05045,AR,Faulkner,12.0
05047,AR,Franklin,17.0
05049,AR,Fulton,17.0
05051,AR,Garland,23.0
05053,AR,Grant,1.0
05055,AR,Greene,16.0
05057,AR,Hempstead,8.0
05059,AR,Hot Spring,9.0
05061,AR,Howard,1.0
05063,AR,Independence,12.0
05065,AR,Izard,22.0
05067,AR,Jackson,14.0
05069,AR,Jefferson,5.0
05071,AR,Johnson,12.0
05073,AR,Lafayette,2.0
05075,AR,Lawrence,12.0
05077,AR,Lee,1.0
05079,AR,Lincoln,1.0
05081,AR,Little River,13.0
05083,AR,Logan,16.0
05085,AR,Lonoke,10.0
05087,AR,Madison,1.0
05089,AR,Marion,13.0
05091,AR,Miller,6.0
05093,AR,Mississippi,10.0
05095,AR,Monroe,2.0
05097,AR,Montgomery,2.0
05099,AR,Nevada,2.0
05101,AR,Newton,22.0
05103,AR,Ouachita,8.0
05105,AR,Perry,1.0
05107,AR,Phillips,6.0
05109,AR,Pike,1.0
05111,AR,Poinsett,16.0
05113,AR,Polk,18.0
05115,AR,Pope,10.0
05117,AR,Prairie,2.0
05119,AR,Pulaski,11.0
05121,AR,Randolph,15.0
05123,AR,St. Francis,6.0
05125,AR,Saline,13.0
05127,AR,Scott,1.0
05129,AR,Searcy,2.0
05131,AR,Sebastian,18.0
05133,AR,Sevier,14.0
05135,AR,Sharp,16.0
05137,AR,Stone,1.0
05139,AR,Union,14.0
05141,AR,Van Buren,1.0
05143,AR,Washington,8.0
05145,AR,White,9.0
05147,AR,Woodruff,2.0
05149,AR,Yell,14.0
06001,CA,Alameda,10.0
06003,CA,Alpine,12.0
06005,CA,Amador,26.0
06007,CA,Butte,33.0
06009,CA,Calaveras,18.0
06011,CA,Colusa,1.0
06013,CA,Contra Costa,10.0
06015,CA,Del Norte,12.0
06017,CA,El Dorado,20.0
06019,CA,Fresno,10.0
06021,CA,Glenn,18.0
06023,CA,Humboldt,35.0
06025,CA,Imperial,10.0
06027,CA,Inyo,9.0
06029,CA,Kern,16.0
06031,CA,Kings,8.0
06033,CA,Lake,40.0
06035,CA,Lassen,31.0
06037,CA,Los Angeles,7.0
06039,CA,Madera,10.0
06041,CA,Marin,13.0
06043,CA,Mariposa,23.0
06045,CA,Mendocino,19.0
06047,CA,Merced,10.0
06049,CA,Modoc,27.0
06051,CA,Mono,1.0
06053,CA,Monterey,10.0
06055,CA,Napa,10.0
06057,CA,Nevada,16.0
06059,CA,Orange,10.0
06061,CA,Placer,11.0
06063,CA,Plumas,30.0
06065,CA,Riverside,11.0
06067,CA,Sacramento,16.0
06069,CA,San Benito,8.0
06071,CA,San Bernardino,6.0
06073,CA,San Diego,12.0
06075,CA,San Francisco,21.0
06077,CA,San Joaquin,16.0
06079,CA,San Luis Obispo,13.0
06081,CA,San Mateo,8.0
06083,CA,Santa Barbara,11.0
06085,CA,Santa Clara,7.0
06087,CA,Santa Cruz,16.0
06089,CA,Shasta,29.0
06091,CA,Sierra,4.0
06093,CA,Siskiyou,20.0
06095,CA,Solano,10.0
06097,CA,Sonoma,13.0
06099,CA,Stanislaus,16.0
06101,CA,Sutter,13.0
06103,CA,Tehama,14.0
06105,CA,Trinity,22.0
06107,CA,Tulare,7.0
06109,CA,Tuolumne,26.0
06111,CA,Ventura,12.0
